warehouse_id,date,picks_per_hour,lines_per_hour,receiving_volume,outbound_volume,labor_hours,errors,rework
EFC,2022-04-04,92.1,78.07,771,715,514.87,5,2
EFC,2022-04-05,72.21,80.86,808,373,545.67,2,0
EFC,2022-04-06,67.67,66.08,851,1119,546.01,4,1
EFC,2022-04-07,92.96,93.99,1081,1155,513.51,4,1
EFC,2022-04-08,53.73,59.42,946,1145,528.54,0,0
EFC,2022-04-09,88.17,105.08,643,553,642.79,3,1
EFC,2022-04-10,69.14,70.53,800,1314,556.36,1,0
EFC,2022-04-11,81.13,82.18,479,991,512.65,4,1
EFC,2022-04-12,65.28,75.93,726,1067,445.16,2,1
EFC,2022-04-13,87.67,75.92,886,882,593.25,2,0
EFC,2022-04-14,82.56,87.39,1292,636,572.87,0,0
EFC,2022-04-15,80.95,68.49,877,931,512.09,3,1
EFC,2022-04-16,114.53,102.73,864,1193,336.16,5,3
EFC,2022-04-17,67.3,80.74,653,913,730.75,5,2
EFC,2022-04-18,72.43,66.25,1115,339,563.41,4,2
EFC,2022-04-19,77.79,71.85,864,875,446.61,4,2
EFC,2022-04-20,52.53,52.14,736,841,669.78,6,3
EFC,2022-04-21,79.76,64.62,1088,1192,618.45,3,0
EFC,2022-04-22,74.08,80.51,817,640,539.22,2,1
EFC,2022-04-23,67.6,79.68,885,1342,375.25,4,1
EFC,2022-04-24,74.04,85.9,957,987,548.41,1,0
EFC,2022-04-25,60.45,53.26,714,957,378.32,5,3
EFC,2022-04-26,76.93,80.24,878,1173,484.12,2,0
EFC,2022-04-27,86.37,95.35,910,976,528.26,4,2
EFC,2022-04-28,100.11,114.16,1014,982,405.98,0,0
EFC,2022-04-29,90.03,93.49,718,693,407.98,0,0
EFC,2022-04-30,73.42,72.48,956,784,614.89,3,0
EFC,2022-05-01,90.31,94.88,1254,981,427.49,6,3
EFC,2022-05-02,108.77,129.69,765,755,379.77,2,0
EFC,2022-05-03,63.46,67.74,911,590,595.1,7,5
EFC,2022-05-04,44.81,46.87,940,863,664.7,2,1
EFC,2022-05-05,73.68,67.64,854,646,430.57,4,1
EFC,2022-05-06,92.2,96.5,585,763,346.84,1,0
EFC,2022-05-07,74.89,83.69,770,761,638.38,2,1
EFC,2022-05-08,96.21,110.22,901,770,569.69,1,0
EFC,2022-05-09,82.69,74.38,645,863,557.86,1,0
EFC,2022-05-10,75.29,62.28,889,1127,504.38,2,1
EFC,2022-05-11,71.31,64.08,1063,726,511.34,3,1
EFC,2022-05-12,93.07,99.34,562,893,472.17,3,2
EFC,2022-05-13,93.05,109.95,1097,517,583.23,4,2
EFC,2022-05-14,100.91,101.16,942,476,608.7,3,1
EFC,2022-05-15,103.19,95.27,864,968,605.35,6,2
EFC,2022-05-16,72.62,59.28,839,868,467.72,2,1
EFC,2022-05-17,108.92,95.48,821,545,549.18,3,2
EFC,2022-05-18,95.94,112.05,609,1166,483.95,5,3
EFC,2022-05-19,83.98,96.78,946,1080,516.77,5,1
EFC,2022-05-20,96.07,104.02,836,659,512.02,2,0
EFC,2022-05-21,75.27,62.17,837,1155,575.93,1,0
EFC,2022-05-22,96.85,105.37,998,862,409.49,3,1
EFC,2022-05-23,78.47,72.46,850,820,497.84,0,0
EFC,2022-05-24,94.06,85.79,783,795,508.96,4,3
EFC,2022-05-25,90.65,97.61,592,922,551.31,7,5
EFC,2022-05-26,79.12,68.0,1017,625,397.84,4,2
EFC,2022-05-27,88.49,97.2,516,744,444.93,2,1
EFC,2022-05-28,81.44,91.81,939,565,519.91,2,1
EFC,2022-05-29,67.85,77.39,513,544,532.85,0,0
EFC,2022-05-30,99.73,115.98,642,711,479.12,2,1
EFC,2022-05-31,86.79,76.47,895,737,463.51,4,2
EFC,2022-06-01,77.21,81.11,756,1417,518.88,0,0
EFC,2022-06-02,92.05,88.69,889,1074,295.07,2,1
EFC,2022-06-03,79.04,82.01,871,1025,480.46,1,0
EFC,2022-06-04,82.31,70.43,466,758,395.72,4,2
EFC,2022-06-05,91.57,95.92,1107,1082,653.2,2,1
EFC,2022-06-06,97.24,112.63,1235,1333,551.47,2,0
EFC,2022-06-07,97.64,110.91,837,1090,646.4,2,0
EFC,2022-06-08,81.17,76.56,713,875,389.03,2,1
EFC,2022-06-09,55.58,62.6,718,997,555.1,6,4
EFC,2022-06-10,85.51,84.7,1252,968,515.72,6,4
EFC,2022-06-11,68.08,60.21,886,1201,839.22,4,1
EFC,2022-06-12,67.3,72.65,1259,1025,592.11,7,3
EFC,2022-06-13,73.54,72.85,1256,1059,620.33,2,1
EFC,2022-06-14,95.66,88.44,1429,832,379.4,3,1
EFC,2022-06-15,89.76,96.39,1570,1317,460.93,2,0
EFC,2022-06-16,80.79,67.35,976,1210,565.4,4,2
EFC,2022-06-17,61.62,68.87,895,1115,525.39,6,4
EFC,2022-06-18,86.58,73.47,1172,990,557.79,4,2
EFC,2022-06-19,71.69,74.07,1121,707,577.69,3,1
EFC,2022-06-20,62.89,63.79,719,1118,577.56,2,0
EFC,2022-06-21,64.61,61.26,884,1115,554.94,5,1
EFC,2022-06-22,102.12,87.26,1096,889,601.65,2,1
EFC,2022-06-23,123.15,130.27,674,1590,822.78,1,0
EFC,2022-06-24,89.11,97.91,940,1075,627.26,4,1
EFC,2022-06-25,72.68,82.25,1103,940,654.81,4,2
EFC,2022-06-26,37.51,31.59,649,915,528.85,0,0
EFC,2022-06-27,88.92,95.81,1003,1883,614.39,4,3
EFC,2022-06-28,97.09,82.19,1057,728,519.45,2,0
EFC,2022-06-29,115.72,94.86,714,1268,575.58,2,0
EFC,2022-06-30,76.15,85.89,746,1325,536.67,5,3
EFC,2022-07-01,92.85,102.24,1256,1609,435.97,4,1
EFC,2022-07-02,101.02,119.38,970,1472,528.28,3,1
EFC,2022-07-03,101.47,104.22,1177,676,472.93,4,1
EFC,2022-07-04,74.53,65.03,884,1002,753.75,4,2
EFC,2022-07-05,79.41,75.8,753,672,509.6,1,0
EFC,2022-07-06,92.61,96.94,722,1301,681.8,4,1
EFC,2022-07-07,93.97,108.91,956,1184,415.74,0,0
EFC,2022-07-08,71.49,84.71,371,888,652.29,4,1
EFC,2022-07-09,85.61,86.7,1254,1284,622.08,4,2
EFC,2022-07-10,80.03,64.5,1877,1157,723.13,0,0
EFC,2022-07-11,90.72,100.65,642,1170,446.13,6,2
EFC,2022-07-12,88.51,80.69,883,1240,697.5,1,0
EFC,2022-07-13,84.87,75.6,989,894,660.47,1,0
EFC,2022-07-14,58.21,64.97,1199,1112,611.68,1,0
EFC,2022-07-15,73.2,64.29,495,954,700.26,4,3
EFC,2022-07-16,105.45,89.49,725,739,469.23,4,2
EFC,2022-07-17,69.07,79.82,1352,951,685.2,5,3
EFC,2022-07-18,74.67,81.67,771,924,508.11,1,0
EFC,2022-07-19,66.23,53.13,908,1088,443.41,8,4
EFC,2022-07-20,70.01,69.12,737,953,605.76,3,2
EFC,2022-07-21,70.78,65.96,772,1050,675.81,2,1
EFC,2022-07-22,96.31,103.6,687,802,645.53,2,1
EFC,2022-07-23,89.48,98.82,1218,1395,652.53,4,1
EFC,2022-07-24,88.87,94.2,1131,1005,524.31,6,4
EFC,2022-07-25,90.4,96.54,1189,1105,541.39,4,2
EFC,2022-07-26,86.02,97.0,1122,1392,674.12,3,1
EFC,2022-07-27,85.23,73.34,1388,1035,791.2,4,1
EFC,2022-07-28,56.97,66.23,1278,705,405.28,3,1
EFC,2022-07-29,100.28,101.39,1201,1370,392.06,2,1
EFC,2022-07-30,74.23,81.94,1086,1623,657.19,2,0
EFC,2022-07-31,90.37,108.3,1029,969,536.79,1,0
EFC,2022-08-01,60.47,64.67,779,535,536.29,1,0
EFC,2022-08-02,90.91,96.61,604,841,520.13,2,1
EFC,2022-08-03,74.27,74.26,637,832,136.48,4,3
EFC,2022-08-04,61.29,59.18,646,792,510.37,3,2
EFC,2022-08-05,89.06,76.81,735,944,420.18,2,1
EFC,2022-08-06,63.36,73.08,715,1243,593.7,4,1
EFC,2022-08-07,53.39,55.65,618,809,366.54,7,3
EFC,2022-08-08,83.15,72.86,934,810,548.71,3,1
EFC,2022-08-09,77.09,61.88,991,799,483.32,5,3
EFC,2022-08-10,53.78,48.35,737,978,430.19,3,1
EFC,2022-08-11,96.25,95.85,1136,856,511.44,3,1
EFC,2022-08-12,36.78,39.8,440,344,512.23,3,1
EFC,2022-08-13,93.43,99.33,682,1076,608.67,1,0
EFC,2022-08-14,75.22,65.65,915,935,596.43,1,0
EFC,2022-08-15,83.02,68.87,788,1016,555.4,1,0
EFC,2022-08-16,65.14,61.29,638,1185,276.48,4,3
EFC,2022-08-17,58.6,54.61,751,692,623.79,2,1
EFC,2022-08-18,97.9,89.33,1156,963,434.54,1,0
EFC,2022-08-19,86.36,81.63,853,808,577.98,8,4
EFC,2022-08-20,80.78,74.72,755,905,576.23,6,3
EFC,2022-08-21,99.12,109.11,878,959,685.19,3,2
EFC,2022-08-22,115.46,97.26,481,856,600.97,3,2
EFC,2022-08-23,55.27,60.51,680,685,369.74,3,2
EFC,2022-08-24,79.76,79.64,1007,909,426.57,3,1
EFC,2022-08-25,92.45,108.65,857,669,524.56,4,2
EFC,2022-08-26,69.8,70.68,647,915,564.43,2,0
EFC,2022-08-27,71.13,60.83,969,753,514.33,7,3
EFC,2022-08-28,77.6,89.73,737,861,514.47,2,0
EFC,2022-08-29,98.26,87.13,650,605,524.05,6,3
EFC,2022-08-30,102.98,94.65,739,907,494.07,1,0
EFC,2022-08-31,59.11,53.85,1059,1036,550.99,2,1
EFC,2022-09-01,75.49,80.63,782,452,389.36,3,2
EFC,2022-09-02,81.66,76.15,895,614,523.43,3,1
EFC,2022-09-03,68.98,57.76,770,1243,261.39,4,1
EFC,2022-09-04,70.41,68.71,679,856,432.74,0,0
EFC,2022-09-05,61.28,56.89,889,915,471.12,2,1
EFC,2022-09-06,62.73,64.68,828,981,580.86,1,0
EFC,2022-09-07,81.44,97.05,1047,734,617.18,2,1
EFC,2022-09-08,79.64,72.03,247,1015,498.57,4,3
EFC,2022-09-09,99.5,91.82,677,1217,454.85,1,0
EFC,2022-09-10,86.89,84.67,1051,350,396.64,3,1
EFC,2022-09-11,76.63,72.66,683,1054,593.62,3,0
EFC,2022-09-12,76.89,80.93,937,1101,576.29,5,3
EFC,2022-09-13,76.55,68.93,775,1154,664.33,3,2
EFC,2022-09-14,92.86,101.45,502,1317,388.48,1,0
EFC,2022-09-15,65.42,70.75,766,1073,711.22,4,1
EFC,2022-09-16,79.94,69.73,780,768,617.87,3,1
EFC,2022-09-17,92.81,111.0,479,804,568.47,7,2
EFC,2022-09-18,70.58,77.85,1175,782,602.36,2,0
EFC,2022-09-19,78.43,67.85,829,1093,244.34,5,2
EFC,2022-09-20,63.55,52.28,542,1298,504.5,4,2
EFC,2022-09-21,38.82,40.88,838,462,372.55,5,3
EFC,2022-09-22,73.01,65.41,596,1070,569.63,4,2
EFC,2022-09-23,85.23,80.89,767,751,465.17,9,3
EFC,2022-09-24,102.07,115.88,797,867,414.08,8,3
EFC,2022-09-25,89.02,102.89,661,1073,337.01,3,1
EFC,2022-09-26,49.46,51.64,658,1433,373.56,1,0
EFC,2022-09-27,72.11,82.02,591,764,591.54,5,2
EFC,2022-09-28,74.54,76.57,403,781,533.59,3,1
EFC,2022-09-29,92.12,93.28,1007,934,456.74,4,1
EFC,2022-09-30,74.33,69.03,584,887,501.83,3,2
EFC,2022-10-01,69.27,60.09,778,711,599.17,1,0
EFC,2022-10-02,71.68,70.47,707,763,518.01,3,2
EFC,2022-10-03,61.56,69.16,810,899,426.4,1,0
EFC,2022-10-04,78.93,84.05,684,1066,529.64,3,1
EFC,2022-10-05,89.26,99.43,361,809,533.71,2,0
EFC,2022-10-06,69.68,74.04,542,985,742.0,2,1
EFC,2022-10-07,73.33,74.89,846,952,410.0,3,2
EFC,2022-10-08,60.5,55.87,662,677,481.24,4,1
EFC,2022-10-09,74.92,64.73,1080,1062,450.21,5,1
EFC,2022-10-10,83.89,73.22,676,1077,509.78,3,1
EFC,2022-10-11,91.19,106.74,610,1160,525.76,2,0
EFC,2022-10-12,91.39,107.51,741,993,494.84,1,0
EFC,2022-10-13,77.93,68.28,693,1067,480.38,4,1
EFC,2022-10-14,113.37,134.7,875,578,470.71,5,3
EFC,2022-10-15,91.76,94.12,676,933,488.9,1,0
EFC,2022-10-16,54.53,52.52,554,647,534.61,6,3
EFC,2022-10-17,105.03,105.7,917,866,496.61,3,1
EFC,2022-10-18,82.46,82.07,568,679,576.8,6,4
EFC,2022-10-19,85.98,76.51,741,1200,500.34,3,1
EFC,2022-10-20,75.54,74.59,1061,957,524.55,4,1
EFC,2022-10-21,54.62,51.61,568,476,656.2,0,0
EFC,2022-10-22,103.43,107.68,618,1136,502.66,2,1
EFC,2022-10-23,69.23,57.76,622,620,537.03,3,1
EFC,2022-10-24,79.14,81.83,685,793,428.05,3,2
EFC,2022-10-25,93.65,94.68,745,1033,686.06,2,1
EFC,2022-10-26,98.05,110.17,560,969,451.19,4,1
EFC,2022-10-27,67.07,75.44,553,584,592.73,2,1
EFC,2022-10-28,58.52,62.97,712,1103,599.54,1,0
EFC,2022-10-29,86.3,100.68,777,673,773.39,2,1
EFC,2022-10-30,87.9,80.28,977,795,555.29,3,2
EFC,2022-10-31,57.84,63.04,558,1205,522.98,4,2
EFC,2022-11-01,62.45,72.57,1319,829,716.07,3,1
EFC,2022-11-02,83.42,67.6,1437,1153,649.09,3,1
EFC,2022-11-03,86.48,69.76,1387,1833,599.23,6,4
EFC,2022-11-04,81.09,77.16,797,1352,564.34,2,0
EFC,2022-11-05,78.57,90.57,578,1477,603.91,1,0
EFC,2022-11-06,95.02,101.37,1214,1411,450.19,0,0
EFC,2022-11-07,71.39,57.71,933,1634,583.07,7,5
EFC,2022-11-08,94.53,91.6,784,1482,564.69,7,4
EFC,2022-11-09,79.3,85.27,1345,1411,557.44,2,1
EFC,2022-11-10,100.91,120.35,908,1285,618.42,1,0
EFC,2022-11-11,90.09,86.42,704,1980,414.24,5,3
EFC,2022-11-12,77.53,85.21,1029,645,468.0,2,1
EFC,2022-11-13,81.23,74.79,978,1684,540.99,2,0
EFC,2022-11-14,73.4,60.34,994,859,490.04,4,1
EFC,2022-11-15,85.15,72.39,969,1343,662.92,2,0
EFC,2022-11-16,73.75,70.39,1102,1215,611.67,2,0
EFC,2022-11-17,85.24,95.98,1161,1244,501.9,0,0
EFC,2022-11-18,70.41,56.99,879,1231,610.96,6,2
EFC,2022-11-19,108.98,100.19,1198,1408,713.06,2,1
EFC,2022-11-20,90.59,85.27,682,1411,532.31,5,3
EFC,2022-11-21,70.25,65.94,852,1292,572.82,0,0
EFC,2022-11-22,107.92,117.88,1308,2001,522.51,5,3
EFC,2022-11-23,84.59,70.94,1294,1562,645.32,2,0
EFC,2022-11-24,70.73,72.71,668,1461,607.65,1,0
EFC,2022-11-25,79.8,65.79,1250,424,701.6,6,3
EFC,2022-11-26,93.14,106.48,857,1140,477.95,3,0
EFC,2022-11-27,74.37,87.16,1142,1230,531.07,7,3
EFC,2022-11-28,68.34,69.09,1586,1201,776.68,2,0
EFC,2022-11-29,70.44,81.17,1335,626,649.05,0,0
EFC,2022-11-30,72.47,81.52,845,1332,554.17,1,0
EFC,2022-12-01,73.87,75.24,1151,1271,566.5,3,2
EFC,2022-12-02,74.8,71.89,448,1291,549.64,8,2
EFC,2022-12-03,90.98,91.7,1434,1414,794.35,0,0
EFC,2022-12-04,108.37,115.28,1080,1284,681.09,2,1
EFC,2022-12-05,55.63,48.54,835,1392,723.36,5,3
EFC,2022-12-06,83.75,78.62,1338,1245,662.39,4,1
EFC,2022-12-07,81.01,96.55,1092,1379,595.62,1,0
EFC,2022-12-08,70.48,64.45,1465,1247,640.05,7,4
EFC,2022-12-09,88.19,98.96,1063,909,487.4,1,0
EFC,2022-12-10,79.63,66.49,970,1608,613.52,4,1
EFC,2022-12-11,74.95,81.63,1126,1324,771.35,4,2
EFC,2022-12-12,66.23,64.73,1117,1320,594.41,4,1
EFC,2022-12-13,78.94,73.23,1348,1657,629.69,2,1
EFC,2022-12-14,68.94,72.51,990,1044,639.43,4,1
EFC,2022-12-15,57.41,68.27,1394,1318,367.46,3,1
EFC,2022-12-16,84.86,90.58,1293,1564,530.64,3,2
EFC,2022-12-17,93.9,76.98,1048,1633,539.51,1,0
EFC,2022-12-18,67.04,55.96,1437,1483,532.92,1,0
EFC,2022-12-19,110.14,116.25,1297,1478,748.06,4,2
EFC,2022-12-20,84.68,72.73,956,1423,627.5,1,0
EFC,2022-12-21,96.57,99.12,889,888,800.08,2,0
EFC,2022-12-22,90.61,80.51,1080,1219,657.26,2,0
EFC,2022-12-23,74.89,74.42,968,1018,492.72,0,0
EFC,2022-12-24,63.8,59.89,789,1040,550.32,8,3
EFC,2022-12-25,86.44,70.75,858,868,792.41,2,1
EFC,2022-12-26,84.0,93.93,1118,1125,527.63,4,2
EFC,2022-12-27,56.65,55.34,1286,961,668.0,3,2
EFC,2022-12-28,74.48,61.9,1255,1612,663.42,8,6
EFC,2022-12-29,66.19,54.81,1216,1021,574.52,5,3
EFC,2022-12-30,103.53,97.83,1475,767,468.84,2,0
EFC,2022-12-31,64.97,77.86,1270,1583,706.38,2,1
EFC,2023-01-01,69.79,69.15,805,924,436.56,2,0
EFC,2023-01-02,79.4,73.83,944,847,294.33,4,2
EFC,2023-01-03,79.03,70.16,780,1193,423.83,1,0
EFC,2023-01-04,61.25,72.48,1074,736,556.69,2,0
EFC,2023-01-05,73.31,67.81,1072,718,515.64,6,1
EFC,2023-01-06,90.42,105.89,627,395,606.3,6,4
EFC,2023-01-07,68.28,80.14,756,741,453.13,4,1
EFC,2023-01-08,84.29,100.82,1018,893,497.69,6,2
EFC,2023-01-09,59.02,57.64,838,1049,624.19,2,1
EFC,2023-01-10,61.07,56.0,830,763,379.66,2,1
EFC,2023-01-11,73.98,72.98,841,578,542.38,2,1
EFC,2023-01-12,88.71,91.01,1144,1145,391.5,1,0
EFC,2023-01-13,58.8,56.78,858,1003,510.7,2,1
EFC,2023-01-14,71.76,63.75,946,662,595.89,5,3
EFC,2023-01-15,85.27,92.45,624,669,482.2,3,1
EFC,2023-01-16,77.78,75.06,854,895,636.58,1,0
EFC,2023-01-17,76.27,85.6,669,1036,447.97,1,0
EFC,2023-01-18,93.83,111.65,824,1384,436.99,4,2
EFC,2023-01-19,91.44,105.9,617,846,463.88,3,1
EFC,2023-01-20,79.71,81.78,1121,963,512.4,3,2
EFC,2023-01-21,103.13,91.03,672,794,556.58,3,1
EFC,2023-01-22,81.59,87.6,518,780,375.57,5,1
EFC,2023-01-23,70.53,74.33,557,860,420.54,2,1
EFC,2023-01-24,104.19,116.45,701,688,468.1,2,0
EFC,2023-01-25,94.69,82.23,503,741,252.88,2,1
EFC,2023-01-26,87.58,75.17,944,1005,548.33,1,0
EFC,2023-01-27,88.89,105.24,993,1038,445.1,3,1
EFC,2023-01-28,75.54,85.58,812,467,502.22,3,1
EFC,2023-01-29,77.22,80.77,993,537,625.68,0,0
EFC,2023-01-30,73.53,69.11,933,647,635.86,3,1
EFC,2023-01-31,54.0,47.17,508,1084,728.58,3,1
EFC,2023-02-01,81.66,90.35,1244,1030,578.5,2,0
EFC,2023-02-02,74.73,87.0,862,1168,461.67,2,0
EFC,2023-02-03,89.35,105.99,1085,652,508.55,4,2
EFC,2023-02-04,78.89,64.23,896,751,698.9,4,2
EFC,2023-02-05,76.4,77.11,1173,920,540.98,1,0
EFC,2023-02-06,118.31,132.39,616,667,521.54,2,0
EFC,2023-02-07,93.74,94.25,807,1573,545.24,1,0
EFC,2023-02-08,94.93,95.49,875,645,423.85,4,1
EFC,2023-02-09,93.55,88.44,829,1185,567.99,1,0
EFC,2023-02-10,92.33,82.24,990,1063,480.53,3,1
EFC,2023-02-11,75.46,62.81,1314,694,531.81,2,0
EFC,2023-02-12,79.31,80.58,751,930,362.92,3,1
EFC,2023-02-13,72.43,82.96,546,987,579.56,4,1
EFC,2023-02-14,106.88,102.7,733,974,360.04,2,1
EFC,2023-02-15,89.42,81.75,1229,1047,516.61,5,3
EFC,2023-02-16,80.31,86.75,1132,1115,443.0,4,2
EFC,2023-02-17,83.12,78.76,721,924,718.6,4,1
EFC,2023-02-18,52.25,51.91,830,883,515.42,5,2
EFC,2023-02-19,77.6,90.77,711,1264,545.11,7,3
EFC,2023-02-20,77.12,82.76,717,812,410.84,2,1
EFC,2023-02-21,56.55,62.63,1166,1288,503.11,3,1
EFC,2023-02-22,65.6,78.36,551,1045,562.33,2,0
EFC,2023-02-23,75.66,69.04,1051,728,456.59,2,1
EFC,2023-02-24,88.77,91.91,699,1236,561.46,2,0
EFC,2023-02-25,64.43,65.15,737,673,438.12,1,0
EFC,2023-02-26,75.64,63.23,434,1114,601.86,4,2
EFC,2023-02-27,103.87,117.86,811,944,500.31,1,0
EFC,2023-02-28,69.14,59.63,841,906,499.66,3,1
EFC,2023-03-01,93.98,87.91,697,637,473.08,1,0
EFC,2023-03-02,92.26,87.87,575,863,443.81,1,0
EFC,2023-03-03,91.22,98.81,932,557,609.41,1,0
EFC,2023-03-04,119.06,136.87,526,914,569.8,3,1
EFC,2023-03-05,85.79,76.97,887,963,626.87,3,2
EFC,2023-03-06,68.43,63.46,715,657,547.49,3,0
EFC,2023-03-07,88.32,103.14,994,830,640.29,3,1
EFC,2023-03-08,78.98,74.61,955,857,454.57,4,2
EFC,2023-03-09,77.03,66.46,845,982,711.41,5,2
EFC,2023-03-10,102.23,107.66,660,742,731.61,4,1
EFC,2023-03-11,68.05,67.95,938,996,516.08,4,1
EFC,2023-03-12,98.36,104.66,537,1021,446.85,5,3
EFC,2023-03-13,107.27,127.92,803,996,622.88,4,1
EFC,2023-03-14,55.66,57.56,494,579,483.62,1,0
EFC,2023-03-15,104.51,112.23,512,704,471.11,2,1
