sku_id,sku_name,category,sub_category,cost,price,supplier_id,weight
SKU00033,Product SKU00033,Grocery,Dry Goods,105.5,185.24,SUP044,1.37
SKU00034,Product SKU00034,Toys,Educational,23.36,28.99,SUP015,31.86
SKU00035,Product SKU00035,Electronics,Accessories,64.24,119.56,SUP026,45.39
SKU00036,Product SKU00036,Health & Beauty,Skincare,51.36,89.03,SUP014,37.8
SKU00037,Product SKU00037,Pet Supplies,Other Pets,47.3,61.49,SUP021,14.56
SKU00038,Product SKU00038,Sports,Team Sports,33.92,81.7,SUP032,40.43
SKU00039,Product SKU00039,Automotive,Accessories,127.41,297.23,SUP010,40.2
SKU00040,Product SKU00040,Health & Beauty,Skincare,38.94,91.91,SUP016,27.01
SKU00041,Product SKU00041,Grocery,Snacks,161.87,382.81,SUP017,15.97
SKU00042,Product SKU00042,Pet Supplies,Cat,23.79,35.6,SUP058,21.41
SKU00043,Product SKU00043,Pet Supplies,Cat,163.97,380.24,SUP024,0.45
SKU00044,Product SKU00044,Sports,Fitness,103.13,179.72,SUP033,11.18
SKU00045,Product SKU00045,Office Supplies,Paper,25.73,42.17,SUP049,47.15
SKU00046,Product SKU00046,Electronics,Mobile,65.99,123.69,SUP010,35.18
SKU00047,Product SKU00047,Apparel,Kids,74.0,182.29,SUP028,48.13
SKU00048,Product SKU00048,Pet Supplies,Dog,51.85,95.74,SUP025,15.11
SKU00049,Product SKU00049,Automotive,Accessories,58.4,72.88,SUP034,30.52
SKU00050,Product SKU00050,Health & Beauty,Personal Care,101.53,128.63,SUP056,14.0
SKU00051,Product SKU00051,Electronics,Mobile,181.84,274.84,SUP044,7.33
SKU00052,Product SKU00052,Grocery,Beverages,98.91,245.43,SUP050,12.18
SKU00053,Product SKU00053,Toys,Educational,135.08,295.84,SUP019,11.96
SKU00054,Product SKU00054,Automotive,Parts,146.19,245.32,SUP030,31.65
SKU00055,Product SKU00055,Electronics,Accessories,127.44,241.69,SUP033,4.61
SKU00056,Product SKU00056,Apparel,Kids,167.39,270.67,SUP059,9.41
SKU00057,Product SKU00057,Home & Kitchen,Decor,10.07,19.82,SUP020,33.91
SKU00058,Product SKU00058,Grocery,Snacks,5.28,9.85,SUP013,11.4
SKU00059,Product SKU00059,Apparel,Women,129.74,185.1,SUP049,34.58
SKU00060,Product SKU00060,Apparel,Kids,78.57,189.96,SUP050,6.96
SKU00061,Product SKU00061,Grocery,Dry Goods,69.53,93.69,SUP039,46.24
SKU00062,Product SKU00062,Toys,Action Figures,175.71,269.77,SUP002,33.03
SKU00063,Product SKU00063,Home & Kitchen,Cookware,163.81,314.8,SUP057,26.53
SKU00064,Product SKU00064,Health & Beauty,Skincare,49.89,65.91,SUP004,44.87
SKU00065,Product SKU00065,Sports,Team Sports,180.28,364.71,SUP006,17.02
SKU00066,Product SKU00066,Home & Kitchen,Decor,71.14,152.51,SUP032,44.87
SKU00067,Product SKU00067,Home & Kitchen,Decor,177.64,393.27,SUP050,32.14
SKU00068,Product SKU00068,Apparel,Men,18.66,26.31,SUP043,44.94
SKU00069,Product SKU00069,Office Supplies,Storage,122.07,147.94,SUP011,5.16
SKU00070,Product SKU00070,Health & Beauty,Personal Care,133.37,160.92,SUP056,8.12
SKU00071,Product SKU00071,Pet Supplies,Cat,110.65,232.31,SUP014,32.63
SKU00072,Product SKU00072,Grocery,Snacks,46.41,98.66,SUP045,11.94
SKU00073,Product SKU00073,Sports,Team Sports,66.43,144.18,SUP020,32.52
SKU00074,Product SKU00074,Automotive,Accessories,170.15,349.64,SUP029,28.46
SKU00075,Product SKU00075,Grocery,Beverages,20.55,34.48,SUP008,13.33
SKU00076,Product SKU00076,Sports,Fitness,50.31,124.01,SUP005,19.72
SKU00077,Product SKU00077,Toys,Educational,178.63,360.92,SUP038,39.76
SKU00078,Product SKU00078,Grocery,Dry Goods,101.52,197.96,SUP038,24.68
SKU00079,Product SKU00079,Sports,Fitness,40.66,86.98,SUP005,14.11
SKU00080,Product SKU00080,Electronics,Laptop,6.81,13.89,SUP005,8.94
SKU00081,Product SKU00081,Electronics,Accessories,188.21,459.25,SUP005,45.75
SKU00082,Product SKU00082,Grocery,Dry Goods,75.29,91.86,SUP018,46.42
SKU00083,Product SKU00083,Office Supplies,Paper,86.78,213.19,SUP035,48.18
SKU00084,Product SKU00084,Apparel,Kids,170.9,270.5,SUP060,19.32
SKU00085,Product SKU00085,Pet Supplies,Other Pets,170.53,274.89,SUP031,8.56
SKU00086,Product SKU00086,Sports,Outdoor,112.25,271.31,SUP052,34.83
SKU00087,Product SKU00087,Automotive,Parts,114.87,152.36,SUP007,30.79
SKU00088,Product SKU00088,Home & Kitchen,Decor,198.03,273.7,SUP028,25.96
SKU00089,Product SKU00089,Toys,Action Figures,175.72,380.08,SUP027,34.88
SKU00090,Product SKU00090,Office Supplies,Storage,141.09,235.24,SUP004,14.75
SKU00091,Product SKU00091,Home & Kitchen,Appliances,162.25,365.57,SUP026,43.37
SKU00092,Product SKU00092,Toys,Educational,182.82,340.91,SUP016,25.13
SKU00093,Product SKU00093,Sports,Fitness,160.06,327.32,SUP035,35.13
SKU00094,Product SKU00094,Office Supplies,Paper,159.57,376.11,SUP028,16.97
SKU00095,Product SKU00095,Apparel,Women,76.37,100.97,SUP030,28.96
SKU00096,Product SKU00096,Sports,Fitness,9.12,16.46,SUP029,27.18
SKU00097,Product SKU00097,Grocery,Dry Goods,58.74,115.61,SUP004,1.62
SKU00098,Product SKU00098,Grocery,Dry Goods,9.39,21.31,SUP006,18.07
SKU00099,Product SKU00099,Sports,Fitness,27.16,51.03,SUP027,38.52
SKU00100,Product SKU00100,Office Supplies,Writing,44.73,89.9,SUP014,4.36
SKU00101,Product SKU00101,Automotive,Parts,12.23,23.12,SUP011,27.08
SKU00102,Product SKU00102,Automotive,Parts,128.21,274.87,SUP025,48.8
SKU00103,Product SKU00103,Health & Beauty,Supplements,104.23,168.84,SUP019,39.78
SKU00104,Product SKU00104,Automotive,Accessories,55.62,98.48,SUP010,4.01
SKU00105,Product SKU00105,Sports,Outdoor,7.02,17.21,SUP014,41.82
SKU00106,Product SKU00106,Electronics,Mobile,139.8,242.08,SUP048,8.75
SKU00107,Product SKU00107,Toys,Educational,32.97,50.29,SUP004,27.51
SKU00108,Product SKU00108,Pet Supplies,Cat,143.49,295.34,SUP033,14.07
SKU00109,Product SKU00109,Grocery,Dry Goods,191.06,412.55,SUP004,27.76
SKU00110,Product SKU00110,Grocery,Dry Goods,123.12,214.9,SUP055,12.46
SKU00111,Product SKU00111,Apparel,Men,72.48,158.38,SUP039,0.82
SKU00112,Product SKU00112,Home & Kitchen,Decor,24.98,31.47,SUP056,2.13
SKU00113,Product SKU00113,Sports,Outdoor,171.38,362.43,SUP008,23.76
SKU00114,Product SKU00114,Pet Supplies,Dog,21.37,39.3,SUP038,23.73
SKU00115,Product SKU00115,Pet Supplies,Dog,36.29,64.02,SUP040,19.99
SKU00116,Product SKU00116,Home & Kitchen,Cookware,123.94,251.06,SUP043,2.36
SKU00117,Product SKU00117,Pet Supplies,Other Pets,76.17,153.38,SUP034,25.21
SKU00118,Product SKU00118,Toys,Action Figures,171.58,352.82,SUP014,8.23
SKU00119,Product SKU00119,Toys,Educational,15.97,32.5,SUP017,1.42
SKU00120,Product SKU00120,Automotive,Parts,117.98,285.78,SUP043,28.82
SKU00121,Product SKU00121,Health & Beauty,Supplements,78.86,160.58,SUP021,22.97
SKU00122,Product SKU00122,Home & Kitchen,Appliances,110.03,266.7,SUP030,19.37
SKU00123,Product SKU00123,Pet Supplies,Other Pets,192.32,457.14,SUP007,9.87
SKU00124,Product SKU00124,Home & Kitchen,Decor,15.73,20.94,SUP014,1.01
SKU00125,Product SKU00125,Grocery,Beverages,20.7,43.22,SUP009,3.65
SKU00126,Product SKU00126,Toys,Educational,65.16,149.76,SUP057,1.26
SKU00127,Product SKU00127,Sports,Outdoor,163.26,255.73,SUP019,6.0
SKU00128,Product SKU00128,Apparel,Women,139.95,282.37,SUP054,43.89
SKU00129,Product SKU00129,Grocery,Snacks,147.54,331.16,SUP020,14.17
SKU00130,Product SKU00130,Pet Supplies,Other Pets,37.13,80.79,SUP034,40.36
SKU00131,Product SKU00131,Electronics,Accessories,198.12,344.02,SUP060,18.66
SKU00132,Product SKU00132,Home & Kitchen,Appliances,155.73,255.87,SUP017,46.54
SKU00133,Product SKU00133,Home & Kitchen,Appliances,171.97,302.27,SUP048,37.57
SKU00134,Product SKU00134,Grocery,Dry Goods,151.4,201.98,SUP018,45.14
SKU00135,Product SKU00135,Health & Beauty,Personal Care,102.04,232.08,SUP014,16.07
SKU00136,Product SKU00136,Toys,Educational,179.31,305.9,SUP044,0.64
SKU00137,Product SKU00137,Health & Beauty,Personal Care,181.27,239.04,SUP032,16.03
SKU00138,Product SKU00138,Health & Beauty,Skincare,190.11,463.07,SUP006,28.71
SKU00139,Product SKU00139,Automotive,Accessories,127.1,226.62,SUP003,14.73
SKU00140,Product SKU00140,Electronics,Accessories,67.08,139.14,SUP050,37.64
SKU00141,Product SKU00141,Apparel,Kids,158.73,353.41,SUP017,4.65
SKU00142,Product SKU00142,Apparel,Kids,99.9,127.36,SUP029,27.52
SKU00143,Product SKU00143,Grocery,Snacks,89.42,210.5,SUP028,17.61
SKU00144,Product SKU00144,Grocery,Dry Goods,25.18,34.9,SUP008,38.1
SKU00145,Product SKU00145,Home & Kitchen,Decor,124.41,165.65,SUP058,4.3
SKU00146,Product SKU00146,Apparel,Kids,140.79,182.27,SUP003,41.11
SKU00147,Product SKU00147,Toys,Puzzles,141.84,185.21,SUP036,4.33
SKU00148,Product SKU00148,Apparel,Women,197.35,332.84,SUP009,18.6
SKU00149,Product SKU00149,Electronics,Accessories,162.93,396.15,SUP024,49.3
SKU00150,Product SKU00150,Electronics,Accessories,151.17,255.35,SUP014,4.27
SKU00151,Product SKU00151,Sports,Team Sports,155.88,300.21,SUP007,21.27
SKU00152,Product SKU00152,Toys,Puzzles,181.46,243.98,SUP057,24.68
SKU00153,Product SKU00153,Automotive,Parts,4.25,7.69,SUP060,2.91
SKU00154,Product SKU00154,Sports,Fitness,25.53,34.54,SUP052,32.5
SKU00155,Product SKU00155,Apparel,Women,149.72,293.21,SUP002,48.11
SKU00156,Product SKU00156,Apparel,Kids,76.22,119.77,SUP060,43.44
SKU00157,Product SKU00157,Toys,Action Figures,46.27,113.46,SUP052,0.71
SKU00158,Product SKU00158,Sports,Outdoor,194.04,243.74,SUP011,44.57
SKU00159,Product SKU00159,Home & Kitchen,Cookware,106.48,265.23,SUP056,3.78
SKU00160,Product SKU00160,Electronics,Audio,111.66,274.69,SUP015,26.2
SKU00161,Product SKU00161,Sports,Outdoor,126.62,266.47,SUP023,22.78
SKU00162,Product SKU00162,Health & Beauty,Skincare,126.26,247.42,SUP015,45.07
SKU00163,Product SKU00163,Electronics,Laptop,11.0,17.22,SUP026,47.53
SKU00164,Product SKU00164,Toys,Action Figures,178.27,319.52,SUP056,31.04
SKU00165,Product SKU00165,Home & Kitchen,Cookware,56.92,82.22,SUP023,23.24
SKU00166,Product SKU00166,Grocery,Beverages,71.96,140.95,SUP044,3.98
SKU00167,Product SKU00167,Grocery,Beverages,194.93,483.83,SUP002,34.94
SKU00168,Product SKU00168,Home & Kitchen,Cookware,108.15,173.3,SUP012,40.71
SKU00169,Product SKU00169,Pet Supplies,Cat,137.58,194.18,SUP003,45.56
SKU00170,Product SKU00170,Home & Kitchen,Decor,164.86,401.39,SUP028,36.31
SKU00171,Product SKU00171,Toys,Puzzles,123.46,215.28,SUP051,46.64
SKU00172,Product SKU00172,Toys,Action Figures,173.48,218.37,SUP039,1.42
SKU00173,Product SKU00173,Grocery,Dry Goods,76.54,172.5,SUP025,49.37
SKU00174,Product SKU00174,Pet Supplies,Dog,31.78,62.68,SUP017,19.11
SKU00175,Product SKU00175,Electronics,Audio,194.04,445.27,SUP001,41.93
SKU00176,Product SKU00176,Grocery,Snacks,94.8,164.88,SUP044,13.74
SKU00177,Product SKU00177,Sports,Outdoor,13.16,30.59,SUP028,40.66
SKU00178,Product SKU00178,Home & Kitchen,Decor,199.94,498.98,SUP059,27.82
SKU00179,Product SKU00179,Toys,Puzzles,154.26,374.57,SUP021,42.5
SKU00180,Product SKU00180,Home & Kitchen,Decor,50.97,91.02,SUP058,6.55
SKU00181,Product SKU00181,Health & Beauty,Personal Care,190.9,379.51,SUP020,11.51
SKU00182,Product SKU00182,Automotive,Accessories,135.0,270.48,SUP026,17.97
SKU00183,Product SKU00183,Health & Beauty,Personal Care,24.48,50.75,SUP009,26.06
SKU00184,Product SKU00184,Sports,Outdoor,154.92,290.66,SUP043,42.62
SKU00185,Product SKU00185,Automotive,Parts,111.28,214.68,SUP040,43.85
SKU00186,Product SKU00186,Pet Supplies,Cat,81.89,112.53,SUP026,1.54
SKU00187,Product SKU00187,Grocery,Dry Goods,151.52,304.01,SUP020,35.23
SKU00188,Product SKU00188,Health & Beauty,Skincare,44.17,60.83,SUP028,0.83
SKU00189,Product SKU00189,Pet Supplies,Other Pets,71.42,140.48,SUP042,19.67
SKU00190,Product SKU00190,Toys,Action Figures,88.62,210.51,SUP029,17.48
SKU00191,Product SKU00191,Office Supplies,Storage,103.77,230.24,SUP014,19.89
SKU00192,Product SKU00192,Grocery,Beverages,125.17,290.53,SUP051,47.48
SKU00193,Product SKU00193,Apparel,Kids,31.12,74.83,SUP006,24.66
SKU00194,Product SKU00194,Health & Beauty,Personal Care,53.13,95.47,SUP043,49.0
SKU00195,Product SKU00195,Pet Supplies,Cat,99.54,161.99,SUP006,31.71
SKU00196,Product SKU00196,Sports,Team Sports,49.55,64.35,SUP020,6.53
SKU00197,Product SKU00197,Sports,Fitness,27.35,38.22,SUP010,7.03
SKU00198,Product SKU00198,Electronics,Mobile,128.89,185.14,SUP016,17.35
SKU00199,Product SKU00199,Office Supplies,Storage,179.56,326.11,SUP055,33.41
SKU00200,Product SKU00200,Home & Kitchen,Cookware,36.12,52.37,SUP027,2.14
SKU00201,Product SKU00201,Pet Supplies,Dog,35.45,55.38,SUP046,8.93
SKU00202,Product SKU00202,Automotive,Accessories,19.56,26.54,SUP026,23.09
SKU00203,Product SKU00203,Sports,Fitness,42.85,71.71,SUP042,25.22
SKU00204,Product SKU00204,Electronics,Mobile,138.7,173.53,SUP050,39.99
SKU00205,Product SKU00205,Automotive,Parts,126.32,165.01,SUP012,43.69
SKU00206,Product SKU00206,Grocery,Beverages,184.33,235.83,SUP004,13.92
SKU00207,Product SKU00207,Grocery,Dry Goods,161.63,351.18,SUP059,9.31
SKU00208,Product SKU00208,Home & Kitchen,Cookware,43.45,73.07,SUP009,24.28
SKU00209,Product SKU00209,Office Supplies,Storage,124.41,208.96,SUP034,23.18
SKU00210,Product SKU00210,Grocery,Snacks,150.0,187.15,SUP021,12.7
SKU00211,Product SKU00211,Office Supplies,Storage,143.24,338.59,SUP053,25.63
SKU00212,Product SKU00212,Grocery,Beverages,107.36,143.79,SUP054,22.43
SKU00213,Product SKU00213,Grocery,Beverages,107.46,162.82,SUP058,13.54
SKU00214,Product SKU00214,Apparel,Kids,76.7,94.04,SUP056,16.17
SKU00215,Product SKU00215,Office Supplies,Writing,43.87,71.32,SUP017,6.08
SKU00216,Product SKU00216,Sports,Team Sports,178.32,351.59,SUP018,33.99
SKU00217,Product SKU00217,Grocery,Beverages,158.26,292.46,SUP041,4.44
SKU00218,Product SKU00218,Sports,Outdoor,108.35,212.68,SUP029,37.3
SKU00219,Product SKU00219,Home & Kitchen,Decor,87.47,119.47,SUP019,14.26
SKU00220,Product SKU00220,Sports,Outdoor,73.89,150.71,SUP022,28.58
SKU00221,Product SKU00221,Toys,Puzzles,72.51,180.0,SUP006,30.33
SKU00222,Product SKU00222,Apparel,Men,48.97,65.24,SUP015,7.73
SKU00223,Product SKU00223,Automotive,Parts,50.7,71.43,SUP046,9.41
SKU00224,Product SKU00224,Sports,Fitness,58.45,83.31,SUP027,44.85
SKU00225,Product SKU00225,Automotive,Accessories,17.89,33.67,SUP035,20.58
SKU00226,Product SKU00226,Office Supplies,Writing,196.51,264.43,SUP004,19.95
SKU00227,Product SKU00227,Sports,Outdoor,193.96,450.99,SUP025,40.87
SKU00228,Product SKU00228,Pet Supplies,Other Pets,53.06,75.46,SUP002,33.47
SKU00229,Product SKU00229,Pet Supplies,Cat,186.02,357.86,SUP031,28.62
SKU00230,Product SKU00230,Electronics,Accessories,57.44,126.39,SUP020,9.43
SKU00231,Product SKU00231,Automotive,Accessories,66.09,115.86,SUP035,25.43
SKU00232,Product SKU00232,Grocery,Snacks,50.0,67.46,SUP058,30.57
SKU00233,Product SKU00233,Sports,Outdoor,59.15,115.67,SUP015,7.8
SKU00234,Product SKU00234,Health & Beauty,Supplements,97.27,184.07,SUP032,2.69
SKU00235,Product SKU00235,Electronics,Audio,68.65,94.38,SUP022,3.26
SKU00236,Product SKU00236,Automotive,Parts,198.01,320.59,SUP054,40.51
SKU00237,Product SKU00237,Office Supplies,Paper,52.42,109.35,SUP040,38.04
SKU00238,Product SKU00238,Grocery,Dry Goods,119.94,217.46,SUP059,20.65
SKU00239,Product SKU00239,Automotive,Parts,71.08,171.19,SUP006,41.55
SKU00240,Product SKU00240,Automotive,Parts,193.08,262.9,SUP056,36.57
SKU00241,Product SKU00241,Office Supplies,Paper,187.79,269.59,SUP004,3.42
SKU00242,Product SKU00242,Health & Beauty,Supplements,148.74,289.57,SUP021,42.11
SKU00243,Product SKU00243,Sports,Outdoor,29.67,66.28,SUP021,10.16
SKU00244,Product SKU00244,Toys,Action Figures,34.4,48.63,SUP018,40.75
SKU00245,Product SKU00245,Automotive,Accessories,133.71,251.37,SUP054,18.01
SKU00246,Product SKU00246,Home & Kitchen,Cookware,175.69,300.46,SUP002,40.85
SKU00247,Product SKU00247,Grocery,Dry Goods,88.95,150.33,SUP023,23.19
SKU00248,Product SKU00248,Sports,Team Sports,61.67,133.94,SUP005,25.19
SKU00249,Product SKU00249,Electronics,Mobile,47.98,113.69,SUP016,19.26
SKU00250,Product SKU00250,Sports,Fitness,109.62,260.72,SUP040,31.25
SKU00251,Product SKU00251,Apparel,Men,25.15,60.91,SUP009,31.42
SKU00252,Product SKU00252,Office Supplies,Storage,68.31,94.34,SUP008,39.72
SKU00253,Product SKU00253,Pet Supplies,Dog,124.77,236.25,SUP030,44.71
SKU00254,Product SKU00254,Health & Beauty,Supplements,158.14,220.95,SUP011,15.65
SKU00255,Product SKU00255,Pet Supplies,Other Pets,51.2,110.96,SUP048,1.77
SKU00256,Product SKU00256,Home & Kitchen,Appliances,114.84,251.64,SUP020,43.85
SKU00257,Product SKU00257,Home & Kitchen,Decor,69.73,158.12,SUP002,5.62
SKU00258,Product SKU00258,Health & Beauty,Personal Care,169.6,231.63,SUP044,19.92
SKU00259,Product SKU00259,Automotive,Accessories,159.86,222.99,SUP046,11.54
SKU00260,Product SKU00260,Sports,Fitness,145.01,309.75,SUP038,32.09
SKU00261,Product SKU00261,Sports,Fitness,139.4,265.63,SUP045,12.66
SKU00262,Product SKU00262,Health & Beauty,Personal Care,70.45,101.17,SUP039,45.43
SKU00263,Product SKU00263,Home & Kitchen,Decor,117.51,202.25,SUP051,23.15
SKU00264,Product SKU00264,Electronics,Accessories,189.56,265.26,SUP035,29.35
SKU00265,Product SKU00265,Automotive,Accessories,102.17,203.82,SUP005,1.0
SKU00266,Product SKU00266,Grocery,Snacks,174.68,421.29,SUP022,28.3
SKU00267,Product SKU00267,Electronics,Audio,139.94,335.75,SUP053,35.39
SKU00268,Product SKU00268,Office Supplies,Paper,32.2,62.76,SUP028,30.38
SKU00269,Product SKU00269,Toys,Puzzles,85.98,185.49,SUP058,46.72
SKU00270,Product SKU00270,Office Supplies,Storage,185.26,330.89,SUP010,5.75
SKU00271,Product SKU00271,Automotive,Parts,197.0,451.24,SUP047,6.32
SKU00272,Product SKU00272,Grocery,Snacks,184.33,429.65,SUP018,25.99
SKU00273,Product SKU00273,Pet Supplies,Other Pets,119.07,204.65,SUP050,2.83
SKU00274,Product SKU00274,Office Supplies,Writing,68.37,153.4,SUP028,0.33
SKU00275,Product SKU00275,Pet Supplies,Cat,68.03,116.85,SUP021,26.92
SKU00276,Product SKU00276,Sports,Fitness,184.13,303.86,SUP018,17.41
SKU00277,Product SKU00277,Office Supplies,Paper,148.03,264.66,SUP049,11.31
SKU00278,Product SKU00278,Office Supplies,Storage,91.58,126.67,SUP040,8.9
SKU00279,Product SKU00279,Automotive,Accessories,100.68,175.65,SUP002,45.75
SKU00280,Product SKU00280,Office Supplies,Writing,73.75,144.16,SUP012,31.65
SKU00281,Product SKU00281,Office Supplies,Paper,4.59,9.47,SUP023,8.98
SKU00282,Product SKU00282,Health & Beauty,Supplements,192.29,267.91,SUP018,20.79
SKU00283,Product SKU00283,Pet Supplies,Other Pets,18.9,47.17,SUP057,25.16
SKU00284,Product SKU00284,Health & Beauty,Personal Care,119.89,154.32,SUP001,37.52
SKU00285,Product SKU00285,Grocery,Dry Goods,43.56,103.13,SUP006,10.34
SKU00286,Product SKU00286,Sports,Team Sports,39.76,49.6,SUP027,23.66
SKU00287,Product SKU00287,Office Supplies,Storage,113.84,146.33,SUP049,38.8
SKU00288,Product SKU00288,Sports,Team Sports,91.75,172.65,SUP031,22.09
SKU00289,Product SKU00289,Office Supplies,Writing,81.35,156.8,SUP051,7.85
SKU00290,Product SKU00290,Electronics,Mobile,38.02,88.22,SUP019,47.31
SKU00291,Product SKU00291,Sports,Outdoor,75.92,117.83,SUP045,32.24
SKU00292,Product SKU00292,Sports,Outdoor,82.93,102.25,SUP043,7.89
SKU00293,Product SKU00293,Pet Supplies,Cat,143.76,295.66,SUP031,1.45
SKU00294,Product SKU00294,Grocery,Snacks,45.95,68.94,SUP023,33.63
SKU00295,Product SKU00295,Automotive,Accessories,5.9,7.88,SUP023,40.02
SKU00296,Product SKU00296,Office Supplies,Writing,37.35,76.51,SUP020,11.99
SKU00297,Product SKU00297,Health & Beauty,Skincare,21.69,32.88,SUP008,36.14
SKU00298,Product SKU00298,Sports,Outdoor,171.43,390.74,SUP008,19.92
SKU00299,Product SKU00299,Grocery,Snacks,134.28,196.92,SUP012,14.73
SKU00300,Product SKU00300,Sports,Fitness,179.47,218.4,SUP048,4.37
SKU00301,Product SKU00301,Office Supplies,Writing,43.16,53.28,SUP047,9.15
SKU00302,Product SKU00302,Pet Supplies,Other Pets,117.44,205.27,SUP039,44.64
SKU00303,Product SKU00303,Health & Beauty,Skincare,163.85,269.43,SUP054,13.05
SKU00304,Product SKU00304,Sports,Outdoor,77.18,151.84,SUP015,13.48
SKU00305,Product SKU00305,Toys,Educational,125.58,217.53,SUP020,27.65
SKU00306,Product SKU00306,Electronics,Laptop,88.35,139.84,SUP018,47.43
SKU00307,Product SKU00307,Electronics,Mobile,153.19,211.73,SUP036,43.44
SKU00308,Product SKU00308,Health & Beauty,Personal Care,98.51,232.77,SUP009,40.01
SKU00309,Product SKU00309,Office Supplies,Paper,86.19,105.95,SUP056,13.51
SKU00310,Product SKU00310,Electronics,Accessories,109.24,221.05,SUP031,12.97
SKU00311,Product SKU00311,Office Supplies,Writing,29.59,67.63,SUP022,49.22
SKU00312,Product SKU00312,Apparel,Men,106.09,150.99,SUP017,13.69
SKU00313,Product SKU00313,Office Supplies,Paper,5.64,13.47,SUP053,5.98
SKU00314,Product SKU00314,Home & Kitchen,Cookware,116.15,180.76,SUP032,27.75
SKU00315,Product SKU00315,Home & Kitchen,Decor,130.98,298.46,SUP041,10.4
SKU00316,Product SKU00316,Electronics,Laptop,4.18,5.76,SUP010,45.01
SKU00317,Product SKU00317,Pet Supplies,Cat,175.03,345.97,SUP006,30.07
SKU00318,Product SKU00318,Sports,Fitness,133.68,190.89,SUP036,45.73
SKU00319,Product SKU00319,Automotive,Parts,84.92,144.2,SUP050,25.99
SKU00320,Product SKU00320,Grocery,Beverages,11.3,16.0,SUP029,36.93
SKU00321,Product SKU00321,Office Supplies,Writing,18.39,36.49,SUP056,12.34
SKU00322,Product SKU00322,Pet Supplies,Cat,79.08,124.57,SUP020,17.85
SKU00323,Product SKU00323,Pet Supplies,Other Pets,144.37,229.01,SUP004,28.36
SKU00324,Product SKU00324,Pet Supplies,Other Pets,96.26,198.56,SUP007,46.85
SKU00325,Product SKU00325,Sports,Team Sports,147.05,217.55,SUP014,1.66
SKU00326,Product SKU00326,Health & Beauty,Personal Care,53.93,106.44,SUP006,2.67
SKU00327,Product SKU00327,Apparel,Men,100.28,198.14,SUP012,16.78
SKU00328,Product SKU00328,Grocery,Dry Goods,154.64,207.0,SUP011,3.85
SKU00329,Product SKU00329,Electronics,Audio,146.18,269.58,SUP029,34.45
SKU00330,Product SKU00330,Pet Supplies,Cat,88.1,133.94,SUP019,40.97
SKU00331,Product SKU00331,Electronics,Laptop,160.28,337.09,SUP019,13.68
SKU00332,Product SKU00332,Health & Beauty,Personal Care,118.87,198.43,SUP056,4.67
SKU00333,Product SKU00333,Office Supplies,Paper,183.63,253.02,SUP044,47.52
