sku_id,sku_name,category,sub_category,cost,price,supplier_id,weight,profit_per_unit,margin_pct
SKU00049,Product SKU00049,Automotive,Accessories,58.4,72.88,SUP034,30.52,14.479999999999997,0.247945205479452
SKU00050,Product SKU00050,Health & Beauty,Personal Care,101.53,128.63,SUP056,14.0,27.099999999999994,0.2669161824091401
SKU00051,Product SKU00051,Electronics,Mobile,181.84,274.84,SUP044,7.33,92.99999999999997,0.511438627364716
SKU00052,Product SKU00052,Grocery,Beverages,98.91,245.43,SUP050,12.18,146.52,1.4813466787989082
SKU00053,Product SKU00053,Toys,Educational,135.08,295.84,SUP019,11.96,160.75999999999996,1.1901095647023983
SKU00054,Product SKU00054,Automotive,Parts,146.19,245.32,SUP030,31.65,99.13,0.6780901566454614
SKU00055,Product SKU00055,Electronics,Accessories,127.44,241.69,SUP033,4.61,114.25,0.8965003138731953
SKU00056,Product SKU00056,Apparel,Kids,167.39,270.67,SUP059,9.41,103.28000000000003,0.6170022104068346
SKU00057,Product SKU00057,Home & Kitchen,Decor,10.07,19.82,SUP020,33.91,9.75,0.968222442899702
SKU00058,Product SKU00058,Grocery,Snacks,5.28,9.85,SUP013,11.4,4.569999999999999,0.8655303030303029
SKU00059,Product SKU00059,Apparel,Women,129.74,185.1,SUP049,34.58,55.359999999999985,0.4266995529520578
SKU00060,Product SKU00060,Apparel,Kids,78.57,189.96,SUP050,6.96,111.39000000000001,1.417716685757923
SKU00061,Product SKU00061,Grocery,Dry Goods,69.53,93.69,SUP039,46.24,24.159999999999997,0.34747590967927505
SKU00062,Product SKU00062,Toys,Action Figures,175.71,269.77,SUP002,33.03,94.05999999999997,0.53531386944397
SKU00063,Product SKU00063,Home & Kitchen,Cookware,163.81,314.8,SUP057,26.53,150.99,0.9217385995970943
SKU00064,Product SKU00064,Health & Beauty,Skincare,49.89,65.91,SUP004,44.87,16.019999999999996,0.32110643415514123
SKU00065,Product SKU00065,Sports,Team Sports,180.28,364.71,SUP006,17.02,184.42999999999998,1.0230197470601285
SKU00066,Product SKU00066,Home & Kitchen,Decor,71.14,152.51,SUP032,44.87,81.36999999999999,1.143800955861681
SKU00067,Product SKU00067,Home & Kitchen,Decor,177.64,393.27,SUP050,32.14,215.63,1.2138594911056069
SKU00068,Product SKU00068,Apparel,Men,18.66,26.31,SUP043,44.94,7.649999999999999,0.4099678456591639
SKU00069,Product SKU00069,Office Supplies,Storage,122.07,147.94,SUP011,5.16,25.870000000000005,0.21192758253461133
SKU00070,Product SKU00070,Health & Beauty,Personal Care,133.37,160.92,SUP056,8.12,27.549999999999983,0.20656819374671953
SKU00071,Product SKU00071,Pet Supplies,Cat,110.65,232.31,SUP014,32.63,121.66,1.0995029371893357
SKU00072,Product SKU00072,Grocery,Snacks,46.41,98.66,SUP045,11.94,52.25,1.1258349493643611
SKU00073,Product SKU00073,Sports,Team Sports,66.43,144.18,SUP020,32.52,77.75,1.170404937528225
SKU00074,Product SKU00074,Automotive,Accessories,170.15,349.64,SUP029,28.46,179.48999999999998,1.0548927416985012
SKU00075,Product SKU00075,Grocery,Beverages,20.55,34.48,SUP008,13.33,13.929999999999996,0.6778588807785886
SKU00076,Product SKU00076,Sports,Fitness,50.31,124.01,SUP005,19.72,73.7,1.4649175114291393
SKU00077,Product SKU00077,Toys,Educational,178.63,360.92,SUP038,39.76,182.29000000000002,1.0204892795163187
SKU00078,Product SKU00078,Grocery,Dry Goods,101.52,197.96,SUP038,24.68,96.44000000000001,0.9499605988967693
SKU00079,Product SKU00079,Sports,Fitness,40.66,86.98,SUP005,14.11,46.32000000000001,1.1392031480570588
SKU00080,Product SKU00080,Electronics,Laptop,6.81,13.89,SUP005,8.94,7.080000000000001,1.0396475770925113
SKU00081,Product SKU00081,Electronics,Accessories,188.21,459.25,SUP005,45.75,271.03999999999996,1.4400935125657508
SKU00082,Product SKU00082,Grocery,Dry Goods,75.29,91.86,SUP018,46.42,16.569999999999993,0.22008234825342
SKU00083,Product SKU00083,Office Supplies,Paper,86.78,213.19,SUP035,48.18,126.41,1.456672044249827
SKU00084,Product SKU00084,Apparel,Kids,170.9,270.5,SUP060,19.32,99.6,0.582796957284962
SKU00085,Product SKU00085,Pet Supplies,Other Pets,170.53,274.89,SUP031,8.56,104.35999999999999,0.6119744326511464
SKU00086,Product SKU00086,Sports,Outdoor,112.25,271.31,SUP052,34.83,159.06,1.4170155902004455
SKU00087,Product SKU00087,Automotive,Parts,114.87,152.36,SUP007,30.79,37.49000000000001,0.3263689388003831
SKU00088,Product SKU00088,Home & Kitchen,Decor,198.03,273.7,SUP028,25.96,75.66999999999999,0.3821138211382113
SKU00089,Product SKU00089,Toys,Action Figures,175.72,380.08,SUP027,34.88,204.35999999999999,1.1629865695424537
SKU00090,Product SKU00090,Office Supplies,Storage,141.09,235.24,SUP004,14.75,94.15,0.6673045573747254
SKU00091,Product SKU00091,Home & Kitchen,Appliances,162.25,365.57,SUP026,43.37,203.32,1.2531278890600923
SKU00092,Product SKU00092,Toys,Educational,182.82,340.91,SUP016,25.13,158.09000000000003,0.8647303358494697
SKU00093,Product SKU00093,Sports,Fitness,160.06,327.32,SUP035,35.13,167.26,1.0449831313257527
SKU00094,Product SKU00094,Office Supplies,Paper,159.57,376.11,SUP028,16.97,216.54000000000002,1.3570219966159054
SKU00095,Product SKU00095,Apparel,Women,76.37,100.97,SUP030,28.96,24.599999999999994,0.32211601414167856
SKU00096,Product SKU00096,Sports,Fitness,9.12,16.46,SUP029,27.18,7.340000000000002,0.804824561403509
SKU00097,Product SKU00097,Grocery,Dry Goods,58.74,115.61,SUP004,1.62,56.87,0.9681647940074906
SKU00098,Product SKU00098,Grocery,Dry Goods,9.39,21.31,SUP006,18.07,11.919999999999998,1.2694355697550583
SKU00099,Product SKU00099,Sports,Fitness,27.16,51.03,SUP027,38.52,23.87,0.8788659793814433
SKU00100,Product SKU00100,Office Supplies,Writing,44.73,89.9,SUP014,4.36,45.17000000000001,1.0098367985691932
SKU00101,Product SKU00101,Automotive,Parts,12.23,23.12,SUP011,27.08,10.89,0.8904333605887162
SKU00102,Product SKU00102,Automotive,Parts,128.21,274.87,SUP025,48.8,146.66,1.143904531627798
SKU00103,Product SKU00103,Health & Beauty,Supplements,104.23,168.84,SUP019,39.78,64.61,0.6198791134989926
SKU00104,Product SKU00104,Automotive,Accessories,55.62,98.48,SUP010,4.01,42.86000000000001,0.7705861201006834
SKU00105,Product SKU00105,Sports,Outdoor,7.02,17.21,SUP014,41.82,10.190000000000001,1.4515669515669518
SKU00106,Product SKU00106,Electronics,Mobile,139.8,242.08,SUP048,8.75,102.28,0.7316165951359084
SKU00107,Product SKU00107,Toys,Educational,32.97,50.29,SUP004,27.51,17.32,0.5253260539884744
SKU00108,Product SKU00108,Pet Supplies,Cat,143.49,295.34,SUP033,14.07,151.84999999999997,1.0582618997839568
SKU00109,Product SKU00109,Grocery,Dry Goods,191.06,412.55,SUP004,27.76,221.49,1.1592693394745106
SKU00110,Product SKU00110,Grocery,Dry Goods,123.12,214.9,SUP055,12.46,91.78,0.74545159194282
SKU00111,Product SKU00111,Apparel,Men,72.48,158.38,SUP039,0.82,85.89999999999999,1.1851545253863134
SKU00112,Product SKU00112,Home & Kitchen,Decor,24.98,31.47,SUP056,2.13,6.489999999999998,0.2598078462770215
SKU00113,Product SKU00113,Sports,Outdoor,171.38,362.43,SUP008,23.76,191.05,1.1147741860193723
SKU00114,Product SKU00114,Pet Supplies,Dog,21.37,39.3,SUP038,23.73,17.929999999999996,0.8390266729059427
SKU00115,Product SKU00115,Pet Supplies,Dog,36.29,64.02,SUP040,19.99,27.729999999999997,0.7641223477542022
SKU00116,Product SKU00116,Home & Kitchen,Cookware,123.94,251.06,SUP043,2.36,127.12,1.025657576246571
SKU00117,Product SKU00117,Pet Supplies,Other Pets,76.17,153.38,SUP034,25.21,77.21,1.0136536694236575
SKU00118,Product SKU00118,Toys,Action Figures,171.58,352.82,SUP014,8.23,181.23999999999998,1.0563002680965146
SKU00119,Product SKU00119,Toys,Educational,15.97,32.5,SUP017,1.42,16.53,1.0350657482780212
SKU00120,Product SKU00120,Automotive,Parts,117.98,285.78,SUP043,28.82,167.79999999999995,1.4222749618579416
SKU00121,Product SKU00121,Health & Beauty,Supplements,78.86,160.58,SUP021,22.97,81.72000000000001,1.0362668019274666
SKU00122,Product SKU00122,Home & Kitchen,Appliances,110.03,266.7,SUP030,19.37,156.67,1.423884395164955
SKU00123,Product SKU00123,Pet Supplies,Other Pets,192.32,457.14,SUP007,9.87,264.82,1.3769758735440931
SKU00124,Product SKU00124,Home & Kitchen,Decor,15.73,20.94,SUP014,1.01,5.210000000000001,0.33121424030514945
SKU00125,Product SKU00125,Grocery,Beverages,20.7,43.22,SUP009,3.65,22.52,1.0879227053140097
SKU00126,Product SKU00126,Toys,Educational,65.16,149.76,SUP057,1.26,84.6,1.298342541436464
SKU00127,Product SKU00127,Sports,Outdoor,163.26,255.73,SUP019,6.0,92.47,0.566397157907632
SKU00128,Product SKU00128,Apparel,Women,139.95,282.37,SUP054,43.89,142.42000000000002,1.017649160414434
SKU00129,Product SKU00129,Grocery,Snacks,147.54,331.16,SUP020,14.17,183.62000000000003,1.2445438525145727
SKU00130,Product SKU00130,Pet Supplies,Other Pets,37.13,80.79,SUP034,40.36,43.660000000000004,1.1758685698895772
SKU00131,Product SKU00131,Electronics,Accessories,198.12,344.02,SUP060,18.66,145.89999999999998,0.7364223702806378
SKU00132,Product SKU00132,Home & Kitchen,Appliances,155.73,255.87,SUP017,46.54,100.14000000000001,0.6430360238874977
SKU00133,Product SKU00133,Home & Kitchen,Appliances,171.97,302.27,SUP048,37.57,130.29999999999998,0.7576902948188636
SKU00134,Product SKU00134,Grocery,Dry Goods,151.4,201.98,SUP018,45.14,50.579999999999984,0.3340819022457066
SKU00135,Product SKU00135,Health & Beauty,Personal Care,102.04,232.08,SUP014,16.07,130.04000000000002,1.274402195217562
SKU00136,Product SKU00136,Toys,Educational,179.31,305.9,SUP044,0.64,126.58999999999997,0.7059840499693267
SKU00137,Product SKU00137,Health & Beauty,Personal Care,181.27,239.04,SUP032,16.03,57.76999999999998,0.31869586804214695
SKU00138,Product SKU00138,Health & Beauty,Skincare,190.11,463.07,SUP006,28.71,272.96,1.435800326126979
SKU00139,Product SKU00139,Automotive,Accessories,127.1,226.62,SUP003,14.73,99.52000000000001,0.7830055074744297
SKU00140,Product SKU00140,Electronics,Accessories,67.08,139.14,SUP050,37.64,72.05999999999999,1.0742397137745974
SKU00141,Product SKU00141,Apparel,Kids,158.73,353.41,SUP017,4.65,194.68000000000004,1.2264852264852268
SKU00142,Product SKU00142,Apparel,Kids,99.9,127.36,SUP029,27.52,27.459999999999994,0.2748748748748748
SKU00143,Product SKU00143,Grocery,Snacks,89.42,210.5,SUP028,17.61,121.08,1.3540594945202415
SKU00144,Product SKU00144,Grocery,Dry Goods,25.18,34.9,SUP008,38.1,9.719999999999999,0.3860206513105639
SKU00145,Product SKU00145,Home & Kitchen,Decor,124.41,165.65,SUP058,4.3,41.24000000000001,0.3314846073466764
SKU00146,Product SKU00146,Apparel,Kids,140.79,182.27,SUP003,41.11,41.48000000000002,0.2946231976702892
SKU00147,Product SKU00147,Toys,Puzzles,141.84,185.21,SUP036,4.33,43.370000000000005,0.3057670614777214
SKU00148,Product SKU00148,Apparel,Women,197.35,332.84,SUP009,18.6,135.48999999999998,0.6865467443628072
SKU00149,Product SKU00149,Electronics,Accessories,162.93,396.15,SUP024,49.3,233.21999999999997,1.4314122629350026
SKU00150,Product SKU00150,Electronics,Accessories,151.17,255.35,SUP014,4.27,104.18,0.6891579017000729
SKU00151,Product SKU00151,Sports,Team Sports,155.88,300.21,SUP007,21.27,144.32999999999998,0.9259045419553502
SKU00152,Product SKU00152,Toys,Puzzles,181.46,243.98,SUP057,24.68,62.51999999999998,0.3445387413204011
SKU00153,Product SKU00153,Automotive,Parts,4.25,7.69,SUP060,2.91,3.4400000000000004,0.8094117647058825
SKU00154,Product SKU00154,Sports,Fitness,25.53,34.54,SUP052,32.5,9.009999999999998,0.3529181355268311
SKU00155,Product SKU00155,Apparel,Women,149.72,293.21,SUP002,48.11,143.48999999999998,0.9583889927865348
SKU00156,Product SKU00156,Apparel,Kids,76.22,119.77,SUP060,43.44,43.55,0.5713723432170034
SKU00157,Product SKU00157,Toys,Action Figures,46.27,113.46,SUP052,0.71,67.19,1.4521288091636049
SKU00158,Product SKU00158,Sports,Outdoor,194.04,243.74,SUP011,44.57,49.70000000000002,0.2561327561327562
SKU00159,Product SKU00159,Home & Kitchen,Cookware,106.48,265.23,SUP056,3.78,158.75,1.4908903080390683
SKU00160,Product SKU00160,Electronics,Audio,111.66,274.69,SUP015,26.2,163.03,1.4600573168547377
SKU00161,Product SKU00161,Sports,Outdoor,126.62,266.47,SUP023,22.78,139.85000000000002,1.1044858632127628
SKU00162,Product SKU00162,Health & Beauty,Skincare,126.26,247.42,SUP015,45.07,121.15999999999998,0.9596071598289243
SKU00163,Product SKU00163,Electronics,Laptop,11.0,17.22,SUP026,47.53,6.219999999999999,0.5654545454545453
SKU00164,Product SKU00164,Toys,Action Figures,178.27,319.52,SUP056,31.04,141.24999999999997,0.7923374656420035
SKU00165,Product SKU00165,Home & Kitchen,Cookware,56.92,82.22,SUP023,23.24,25.299999999999997,0.44448348559381584
SKU00166,Product SKU00166,Grocery,Beverages,71.96,140.95,SUP044,3.98,68.99,0.9587270705947749
SKU00167,Product SKU00167,Grocery,Beverages,194.93,483.83,SUP002,34.94,288.9,1.48207048684143
SKU00168,Product SKU00168,Home & Kitchen,Cookware,108.15,173.3,SUP012,40.71,65.15,0.6024040684234859
SKU00169,Product SKU00169,Pet Supplies,Cat,137.58,194.18,SUP003,45.56,56.599999999999994,0.4113970053786887
SKU00170,Product SKU00170,Home & Kitchen,Decor,164.86,401.39,SUP028,36.31,236.52999999999997,1.4347325003032874
SKU00171,Product SKU00171,Toys,Puzzles,123.46,215.28,SUP051,46.64,91.82000000000001,0.7437226632107566
SKU00172,Product SKU00172,Toys,Action Figures,173.48,218.37,SUP039,1.42,44.890000000000015,0.2587618169241412
SKU00173,Product SKU00173,Grocery,Dry Goods,76.54,172.5,SUP025,49.37,95.96,1.2537235432453617
SKU00174,Product SKU00174,Pet Supplies,Dog,31.78,62.68,SUP017,19.11,30.9,0.9723096286972939
SKU00175,Product SKU00175,Electronics,Audio,194.04,445.27,SUP001,41.93,251.23,1.2947330447330447
SKU00176,Product SKU00176,Grocery,Snacks,94.8,164.88,SUP044,13.74,70.08,0.739240506329114
SKU00177,Product SKU00177,Sports,Outdoor,13.16,30.59,SUP028,40.66,17.43,1.324468085106383
SKU00178,Product SKU00178,Home & Kitchen,Decor,199.94,498.98,SUP059,27.82,299.04,1.4956486946083827
SKU00179,Product SKU00179,Toys,Puzzles,154.26,374.57,SUP021,42.5,220.31,1.4281732140541943
SKU00180,Product SKU00180,Home & Kitchen,Decor,50.97,91.02,SUP058,6.55,40.05,0.7857563272513243
SKU00181,Product SKU00181,Health & Beauty,Personal Care,190.9,379.51,SUP020,11.51,188.60999999999999,0.9880041906757464
SKU00182,Product SKU00182,Automotive,Accessories,135.0,270.48,SUP026,17.97,135.48000000000002,1.0035555555555558
SKU00183,Product SKU00183,Health & Beauty,Personal Care,24.48,50.75,SUP009,26.06,26.27,1.0731209150326797
SKU00184,Product SKU00184,Sports,Outdoor,154.92,290.66,SUP043,42.62,135.74000000000004,0.8761941647301836
SKU00185,Product SKU00185,Automotive,Parts,111.28,214.68,SUP040,43.85,103.4,0.9291876347951115
SKU00186,Product SKU00186,Pet Supplies,Cat,81.89,112.53,SUP026,1.54,30.64,0.37416045915252166
SKU00187,Product SKU00187,Grocery,Dry Goods,151.52,304.01,SUP020,35.23,152.48999999999998,1.0064017951425552
SKU00188,Product SKU00188,Health & Beauty,Skincare,44.17,60.83,SUP028,0.83,16.659999999999997,0.37717908082408863
SKU00189,Product SKU00189,Pet Supplies,Other Pets,71.42,140.48,SUP042,19.67,69.05999999999999,0.9669560347241667
SKU00190,Product SKU00190,Toys,Action Figures,88.62,210.51,SUP029,17.48,121.88999999999999,1.375423155044008
SKU00191,Product SKU00191,Office Supplies,Storage,103.77,230.24,SUP014,19.89,126.47000000000001,1.218753011467669
SKU00192,Product SKU00192,Grocery,Beverages,125.17,290.53,SUP051,47.48,165.35999999999996,1.3210833266757207
SKU00193,Product SKU00193,Apparel,Kids,31.12,74.83,SUP006,24.66,43.709999999999994,1.404562982005141
SKU00194,Product SKU00194,Health & Beauty,Personal Care,53.13,95.47,SUP043,49.0,42.339999999999996,0.7969132316958403
SKU00195,Product SKU00195,Pet Supplies,Cat,99.54,161.99,SUP006,31.71,62.45,0.6273859754872413
SKU00196,Product SKU00196,Sports,Team Sports,49.55,64.35,SUP020,6.53,14.799999999999997,0.2986881937436932
SKU00197,Product SKU00197,Sports,Fitness,27.35,38.22,SUP010,7.03,10.869999999999997,0.39744058500914065
SKU00198,Product SKU00198,Electronics,Mobile,128.89,185.14,SUP016,17.35,56.25,0.43641865156334864
SKU00199,Product SKU00199,Office Supplies,Storage,179.56,326.11,SUP055,33.41,146.55,0.8161617286700825
SKU00200,Product SKU00200,Home & Kitchen,Cookware,36.12,52.37,SUP027,2.14,16.25,0.4498892580287929
SKU00201,Product SKU00201,Pet Supplies,Dog,35.45,55.38,SUP046,8.93,19.93,0.5622002820874471
SKU00202,Product SKU00202,Automotive,Accessories,19.56,26.54,SUP026,23.09,6.98,0.3568507157464213
SKU00203,Product SKU00203,Sports,Fitness,42.85,71.71,SUP042,25.22,28.859999999999992,0.6735122520420068
SKU00204,Product SKU00204,Electronics,Mobile,138.7,173.53,SUP050,39.99,34.83000000000001,0.2511175198269648
SKU00205,Product SKU00205,Automotive,Parts,126.32,165.01,SUP012,43.69,38.69,0.3062856238125396
SKU00206,Product SKU00206,Grocery,Beverages,184.33,235.83,SUP004,13.92,51.5,0.2793902240546845
SKU00207,Product SKU00207,Grocery,Dry Goods,161.63,351.18,SUP059,9.31,189.55,1.1727402091195942
SKU00208,Product SKU00208,Home & Kitchen,Cookware,43.45,73.07,SUP009,24.28,29.61999999999999,0.6817031070195625
SKU00209,Product SKU00209,Office Supplies,Storage,124.41,208.96,SUP034,23.18,84.55000000000001,0.6796077485732659
SKU00210,Product SKU00210,Grocery,Snacks,150.0,187.15,SUP021,12.7,37.150000000000006,0.2476666666666667
SKU00211,Product SKU00211,Office Supplies,Storage,143.24,338.59,SUP053,25.63,195.34999999999997,1.3637950293214183
SKU00212,Product SKU00212,Grocery,Beverages,107.36,143.79,SUP054,22.43,36.42999999999999,0.33932563338301036
SKU00213,Product SKU00213,Grocery,Beverages,107.46,162.82,SUP058,13.54,55.36,0.5151684347664247
SKU00214,Product SKU00214,Apparel,Kids,76.7,94.04,SUP056,16.17,17.340000000000003,0.22607561929595832
SKU00215,Product SKU00215,Office Supplies,Writing,43.87,71.32,SUP017,6.08,27.449999999999996,0.625712331889674
SKU00216,Product SKU00216,Sports,Team Sports,178.32,351.59,SUP018,33.99,173.26999999999998,0.9716801256168685
SKU00217,Product SKU00217,Grocery,Beverages,158.26,292.46,SUP041,4.44,134.2,0.8479716921521546
SKU00218,Product SKU00218,Sports,Outdoor,108.35,212.68,SUP029,37.3,104.33000000000001,0.9628980156898941
SKU00219,Product SKU00219,Home & Kitchen,Decor,87.47,119.47,SUP019,14.26,32.0,0.36583971647421976
SKU00220,Product SKU00220,Sports,Outdoor,73.89,150.71,SUP022,28.58,76.82000000000001,1.0396535390445258
SKU00221,Product SKU00221,Toys,Puzzles,72.51,180.0,SUP006,30.33,107.49,1.482416218452627
SKU00222,Product SKU00222,Apparel,Men,48.97,65.24,SUP015,7.73,16.269999999999996,0.3322442311619358
SKU00223,Product SKU00223,Automotive,Parts,50.7,71.43,SUP046,9.41,20.730000000000004,0.4088757396449705
SKU00224,Product SKU00224,Sports,Fitness,58.45,83.31,SUP027,44.85,24.86,0.4253207869974337
SKU00225,Product SKU00225,Automotive,Accessories,17.89,33.67,SUP035,20.58,15.780000000000001,0.8820570150922303
SKU00226,Product SKU00226,Office Supplies,Writing,196.51,264.43,SUP004,19.95,67.92000000000002,0.34563126558444873
SKU00227,Product SKU00227,Sports,Outdoor,193.96,450.99,SUP025,40.87,257.03,1.325170138172819
SKU00228,Product SKU00228,Pet Supplies,Other Pets,53.06,75.46,SUP002,33.47,22.39999999999999,0.42216358839050117
SKU00229,Product SKU00229,Pet Supplies,Cat,186.02,357.86,SUP031,28.62,171.84,0.9237716374583378
SKU00230,Product SKU00230,Electronics,Accessories,57.44,126.39,SUP020,9.43,68.95,1.200383008356546
SKU00231,Product SKU00231,Automotive,Accessories,66.09,115.86,SUP035,25.43,49.769999999999996,0.7530640036314116
SKU00232,Product SKU00232,Grocery,Snacks,50.0,67.46,SUP058,30.57,17.459999999999994,0.3491999999999999
SKU00233,Product SKU00233,Sports,Outdoor,59.15,115.67,SUP015,7.8,56.52,0.9555367709213863
SKU00234,Product SKU00234,Health & Beauty,Supplements,97.27,184.07,SUP032,2.69,86.8,0.8923614680785442
SKU00235,Product SKU00235,Electronics,Audio,68.65,94.38,SUP022,3.26,25.72999999999999,0.37479970866715207
SKU00236,Product SKU00236,Automotive,Parts,198.01,320.59,SUP054,40.51,122.57999999999998,0.6190596434523509
SKU00237,Product SKU00237,Office Supplies,Paper,52.42,109.35,SUP040,38.04,56.92999999999999,1.0860358641739791
SKU00238,Product SKU00238,Grocery,Dry Goods,119.94,217.46,SUP059,20.65,97.52000000000001,0.8130732032683009
SKU00239,Product SKU00239,Automotive,Parts,71.08,171.19,SUP006,41.55,100.11,1.408413055711874
SKU00240,Product SKU00240,Automotive,Parts,193.08,262.9,SUP056,36.57,69.81999999999996,0.3616117671431529
SKU00241,Product SKU00241,Office Supplies,Paper,187.79,269.59,SUP004,3.42,81.79999999999998,0.4355929495713296
SKU00242,Product SKU00242,Health & Beauty,Supplements,148.74,289.57,SUP021,42.11,140.82999999999998,0.9468199542826407
SKU00243,Product SKU00243,Sports,Outdoor,29.67,66.28,SUP021,10.16,36.61,1.233906302662622
