warehouse_id,work_date,picks_per_hour,lines_per_hour,receiving_volume,outbound_volume,labor_hours,errors,rework,units_per_labor_hour,error_rate
EFC,2022,92.96,93.99,1081,1155,513.51,4,1,2.249225915756266,0.003463203463203463
EFC,2022,53.73,59.42,946,1145,528.54,0,0,2.16634502592046,0.0
EFC,2022,88.17,105.08,643,553,642.79,3,1,0.8603120770391575,0.0054249547920434
EFC,2022,69.14,70.53,800,1314,556.36,1,0,2.3617801423538713,0.00076103500761035
EFC,2022,81.13,82.18,479,991,512.65,4,1,1.9330927533404858,0.004036326942482341
EFC,2022,65.28,75.93,726,1067,445.16,2,1,2.396891005481175,0.0018744142455482662
EFC,2022,87.67,75.92,886,882,593.25,2,0,1.4867256637168142,0.0022675736961451248
EFC,2022,82.56,87.39,1292,636,572.87,0,0,1.1101995217064953,0.0
EFC,2022,80.95,68.49,877,931,512.09,3,1,1.818039797691812,0.00322234156820623
EFC,2022,114.53,102.73,864,1193,336.16,5,3,3.5489052831984766,0.004191114836546521
EFC,2022,67.3,80.74,653,913,730.75,5,2,1.2494013000342115,0.00547645125958379
EFC,2022,72.43,66.25,1115,339,563.41,4,2,0.6016932606804991,0.011799410029498525
EFC,2022,77.79,71.85,864,875,446.61,4,2,1.959203779583977,0.004571428571428572
EFC,2022,52.53,52.14,736,841,669.78,6,3,1.2556361790438653,0.007134363852556481
EFC,2022,79.76,64.62,1088,1192,618.45,3,0,1.9273991430188373,0.0025167785234899327
EFC,2022,74.08,80.51,817,640,539.22,2,1,1.1868995957123252,0.003125
EFC,2022,67.6,79.68,885,1342,375.25,4,1,3.576282478347768,0.0029806259314456036
EFC,2022,74.04,85.9,957,987,548.41,1,0,1.799748363450703,0.0010131712259371835
EFC,2022,60.45,53.26,714,957,378.32,5,3,2.5296045675618526,0.00522466039707419
EFC,2022,76.93,80.24,878,1173,484.12,2,0,2.4229529868627613,0.0017050298380221654
EFC,2022,86.37,95.35,910,976,528.26,4,2,1.8475750577367205,0.004098360655737705
EFC,2022,100.11,114.16,1014,982,405.98,0,0,2.418838366421991,0.0
EFC,2022,90.03,93.49,718,693,407.98,0,0,1.6986126770920142,0.0
EFC,2022,73.42,72.48,956,784,614.89,3,0,1.2750248011839516,0.003826530612244898
EFC,2022,90.31,94.88,1254,981,427.49,6,3,2.2947905214157056,0.0061162079510703364
EFC,2022,108.77,129.69,765,755,379.77,2,0,1.988045395897517,0.0026490066225165563
EFC,2022,63.46,67.74,911,590,595.1,7,5,0.9914300117627289,0.011864406779661017
EFC,2022,44.81,46.87,940,863,664.7,2,1,1.2983300737174663,0.002317497103128621
EFC,2022,73.68,67.64,854,646,430.57,4,1,1.5003367628956965,0.006191950464396285
EFC,2022,92.2,96.5,585,763,346.84,1,0,2.1998616076577098,0.001310615989515072
EFC,2022,74.89,83.69,770,761,638.38,2,1,1.1920799523794605,0.002628120893561104
EFC,2022,96.21,110.22,901,770,569.69,1,0,1.3516122803630044,0.0012987012987012987
EFC,2022,82.69,74.38,645,863,557.86,1,0,1.5469831140429497,0.0011587485515643105
EFC,2022,75.29,62.28,889,1127,504.38,2,1,2.234426424521194,0.001774622892635315
EFC,2022,71.31,64.08,1063,726,511.34,3,1,1.4197989595963547,0.004132231404958678
EFC,2022,93.07,99.34,562,893,472.17,3,2,1.8912679755172925,0.0033594624860022394
EFC,2022,93.05,109.95,1097,517,583.23,4,2,0.8864427412855992,0.007736943907156673
EFC,2022,100.91,101.16,942,476,608.7,3,1,0.7819944143256119,0.0063025210084033615
EFC,2022,103.19,95.27,864,968,605.35,6,2,1.599074915338234,0.006198347107438017
EFC,2022,72.62,59.28,839,868,467.72,2,1,1.8558111690755152,0.002304147465437788
EFC,2022,108.92,95.48,821,545,549.18,3,2,0.9923886521723297,0.005504587155963303
EFC,2022,95.94,112.05,609,1166,483.95,5,3,2.4093398078313877,0.004288164665523156
EFC,2022,83.98,96.78,946,1080,516.77,5,1,2.0899045997252164,0.004629629629629629
EFC,2022,96.07,104.02,836,659,512.02,2,0,1.2870590992539355,0.0030349013657056147
EFC,2022,75.27,62.17,837,1155,575.93,1,0,2.0054520514645877,0.0008658008658008658
EFC,2022,96.85,105.37,998,862,409.49,3,1,2.1050575105619185,0.0034802784222737818
EFC,2022,78.47,72.46,850,820,497.84,0,0,1.6471155391290375,0.0
EFC,2022,94.06,85.79,783,795,508.96,4,3,1.5620088022634393,0.005031446540880503
EFC,2022,90.65,97.61,592,922,551.31,7,5,1.6723803304855709,0.007592190889370932
EFC,2022,79.12,68.0,1017,625,397.84,4,2,1.570983309873316,0.0064
EFC,2022,88.49,97.2,516,744,444.93,2,1,1.6721731508327153,0.002688172043010753
EFC,2022,81.44,91.81,939,565,519.91,2,1,1.0867265488257585,0.0035398230088495575
EFC,2022,67.85,77.39,513,544,532.85,0,0,1.0209252134747113,0.0
EFC,2022,99.73,115.98,642,711,479.12,2,1,1.483970612790115,0.0028129395218002813
EFC,2022,86.79,76.47,895,737,463.51,4,2,1.5900412073094432,0.005427408412483039
EFC,2022,77.21,81.11,756,1417,518.88,0,0,2.730881899475794,0.0
EFC,2022,92.05,88.69,889,1074,295.07,2,1,3.639814281356966,0.00186219739292365
EFC,2022,79.04,82.01,871,1025,480.46,1,0,2.133372184989385,0.000975609756097561
EFC,2022,82.31,70.43,466,758,395.72,4,2,1.9154958051147275,0.005277044854881266
EFC,2022,91.57,95.92,1107,1082,653.2,2,1,1.6564605021432945,0.0018484288354898336
EFC,2022,97.24,112.63,1235,1333,551.47,2,0,2.4171759116543057,0.0015003750937734434
EFC,2022,97.64,110.91,837,1090,646.4,2,0,1.6862623762376239,0.001834862385321101
EFC,2022,81.17,76.56,713,875,389.03,2,1,2.249183867568054,0.002285714285714286
EFC,2022,55.58,62.6,718,997,555.1,6,4,1.796072779679337,0.006018054162487462
EFC,2022,85.51,84.7,1252,968,515.72,6,4,1.8769875126037383,0.006198347107438017
EFC,2022,68.08,60.21,886,1201,839.22,4,1,1.4310907747670456,0.0033305578684429643
EFC,2022,67.3,72.65,1259,1025,592.11,7,3,1.7310972623330123,0.006829268292682927
EFC,2022,73.54,72.85,1256,1059,620.33,2,1,1.7071558686505568,0.0018885741265344666
EFC,2022,95.66,88.44,1429,832,379.4,3,1,2.1929362150764367,0.003605769230769231
EFC,2022,89.76,96.39,1570,1317,460.93,2,0,2.8572668301043542,0.0015186028853454822
EFC,2022,80.79,67.35,976,1210,565.4,4,2,2.140077821011673,0.003305785123966942
EFC,2022,61.62,68.87,895,1115,525.39,6,4,2.122233007860827,0.0053811659192825115
EFC,2022,86.58,73.47,1172,990,557.79,4,2,1.7748615070187705,0.00404040404040404
EFC,2022,71.69,74.07,1121,707,577.69,3,1,1.2238397756582249,0.004243281471004243
EFC,2022,62.89,63.79,719,1118,577.56,2,0,1.9357296211649009,0.0017889087656529517
EFC,2022,64.61,61.26,884,1115,554.94,5,1,2.0092262226547013,0.004484304932735426
EFC,2022,102.12,87.26,1096,889,601.65,2,1,1.4776032577079699,0.0022497187851518562
EFC,2022,123.15,130.27,674,1590,822.78,1,0,1.9324728359950412,0.0006289308176100629
EFC,2022,89.11,97.91,940,1075,627.26,4,1,1.7138028887542647,0.0037209302325581397
EFC,2022,72.68,82.25,1103,940,654.81,4,2,1.4355309173653428,0.00425531914893617
EFC,2022,37.51,31.59,649,915,528.85,0,0,1.7301692351328353,0.0
EFC,2022,88.92,95.81,1003,1883,614.39,4,3,3.0648285291101742,0.002124269782262347
EFC,2022,97.09,82.19,1057,728,519.45,2,0,1.4014823370873037,0.0027472527472527475
EFC,2022,115.72,94.86,714,1268,575.58,2,0,2.202995239584419,0.0015772870662460567
EFC,2022,76.15,85.89,746,1325,536.67,5,3,2.4689287644176123,0.0037735849056603774
EFC,2022,92.85,102.24,1256,1609,435.97,4,1,3.690620914283093,0.002486016159105034
EFC,2022,101.02,119.38,970,1472,528.28,3,1,2.7864011509048234,0.0020380434782608695
EFC,2022,101.47,104.22,1177,676,472.93,4,1,1.42938701287717,0.005917159763313609
EFC,2022,74.53,65.03,884,1002,753.75,4,2,1.3293532338308458,0.003992015968063872
EFC,2022,79.41,75.8,753,672,509.6,1,0,1.3186813186813187,0.001488095238095238
EFC,2022,92.61,96.94,722,1301,681.8,4,1,1.90818421824582,0.0030745580322828594
EFC,2022,93.97,108.91,956,1184,415.74,0,0,2.8479338047818348,0.0
EFC,2022,71.49,84.71,371,888,652.29,4,1,1.3613576783332568,0.0045045045045045045
EFC,2022,85.61,86.7,1254,1284,622.08,4,2,2.064043209876543,0.003115264797507788
EFC,2022,80.03,64.5,1877,1157,723.13,0,0,1.5999889369822853,0.0
EFC,2022,90.72,100.65,642,1170,446.13,6,2,2.622553964091184,0.005128205128205128
EFC,2022,88.51,80.69,883,1240,697.5,1,0,1.7777777777777777,0.0008064516129032258
EFC,2022,84.87,75.6,989,894,660.47,1,0,1.353581540418187,0.0011185682326621924
EFC,2022,58.21,64.97,1199,1112,611.68,1,0,1.817944023018572,0.0008992805755395684
EFC,2022,73.2,64.29,495,954,700.26,4,3,1.3623511267243595,0.0041928721174004195
EFC,2022,105.45,89.49,725,739,469.23,4,2,1.5749206146239583,0.005412719891745603
EFC,2022,69.07,79.82,1352,951,685.2,5,3,1.3879159369527145,0.005257623554153523
EFC,2022,74.67,81.67,771,924,508.11,1,0,1.8185038672728346,0.0010822510822510823
EFC,2022,66.23,53.13,908,1088,443.41,8,4,2.4537110123813175,0.007352941176470588
EFC,2022,70.01,69.12,737,953,605.76,3,2,1.573230322239831,0.0031479538300104933
EFC,2022,70.78,65.96,772,1050,675.81,2,1,1.5536911262041107,0.0019047619047619048
EFC,2022,96.31,103.6,687,802,645.53,2,1,1.2423899741297848,0.0024937655860349127
EFC,2022,89.48,98.82,1218,1395,652.53,4,1,2.137832743322146,0.002867383512544803
EFC,2022,88.87,94.2,1131,1005,524.31,6,4,1.916804943640213,0.005970149253731343
EFC,2022,90.4,96.54,1189,1105,541.39,4,2,2.041042501708565,0.0036199095022624436
EFC,2022,86.02,97.0,1122,1392,674.12,3,1,2.064914258588975,0.0021551724137931034
EFC,2022,85.23,73.34,1388,1035,791.2,4,1,1.3081395348837208,0.003864734299516908
EFC,2022,56.97,66.23,1278,705,405.28,3,1,1.7395380971180419,0.00425531914893617
EFC,2022,100.28,101.39,1201,1370,392.06,2,1,3.4943631076875987,0.00145985401459854
EFC,2022,74.23,81.94,1086,1623,657.19,2,0,2.4696054413487727,0.0012322858903265558
EFC,2022,90.37,108.3,1029,969,536.79,1,0,1.8051752081819707,0.0010319917440660474
EFC,2022,60.47,64.67,779,535,536.29,1,0,0.9975945850192993,0.001869158878504673
EFC,2022,90.91,96.61,604,841,520.13,2,1,1.616903466441082,0.0023781212841854932
EFC,2022,74.27,74.26,637,832,136.48,4,3,6.096131301289566,0.004807692307692308
EFC,2022,61.29,59.18,646,792,510.37,3,2,1.5518153496482943,0.003787878787878788
EFC,2022,89.06,76.81,735,944,420.18,2,1,2.246656194964063,0.00211864406779661
EFC,2022,63.36,73.08,715,1243,593.7,4,1,2.093649991578238,0.003218020917135961
EFC,2022,53.39,55.65,618,809,366.54,7,3,2.2071260981066185,0.00865265760197775
EFC,2022,83.15,72.86,934,810,548.71,3,1,1.4761896083541397,0.003703703703703704
EFC,2022,77.09,61.88,991,799,483.32,5,3,1.6531490523876522,0.006257822277847309
EFC,2022,53.78,48.35,737,978,430.19,3,1,2.273414072851531,0.003067484662576687
EFC,2022,96.25,95.85,1136,856,511.44,3,1,1.6737056155169716,0.0035046728971962616
EFC,2022,36.78,39.8,440,344,512.23,3,1,0.6715733166741502,0.00872093023255814
EFC,2022,93.43,99.33,682,1076,608.67,1,0,1.767788785384527,0.0009293680297397769
EFC,2022,75.22,65.65,915,935,596.43,1,0,1.5676609157822379,0.0010695187165775401
EFC,2022,83.02,68.87,788,1016,555.4,1,0,1.8293122074180772,0.000984251968503937
EFC,2022,65.14,61.29,638,1185,276.48,4,3,4.286024305555555,0.0033755274261603376
EFC,2022,58.6,54.61,751,692,623.79,2,1,1.1093476971416663,0.002890173410404624
EFC,2022,97.9,89.33,1156,963,434.54,1,0,2.2161366042251576,0.0010384215991692627
EFC,2022,86.36,81.63,853,808,577.98,8,4,1.3979722481746772,0.009900990099009901
EFC,2022,80.78,74.72,755,905,576.23,6,3,1.570553424847717,0.0066298342541436465
EFC,2022,99.12,109.11,878,959,685.19,3,2,1.3996117865117703,0.0031282586027111575
EFC,2022,115.46,97.26,481,856,600.97,3,2,1.4243639449556549,0.0035046728971962616
EFC,2022,55.27,60.51,680,685,369.74,3,2,1.852653215773246,0.004379562043795621
EFC,2022,79.76,79.64,1007,909,426.57,3,1,2.1309515437091218,0.0033003300330033004
EFC,2022,92.45,108.65,857,669,524.56,4,2,1.2753545828885162,0.005979073243647235
EFC,2022,69.8,70.68,647,915,564.43,2,0,1.6211044770830751,0.002185792349726776
EFC,2022,71.13,60.83,969,753,514.33,7,3,1.4640405965041898,0.009296148738379814
EFC,2022,77.6,89.73,737,861,514.47,2,0,1.6735669718350923,0.0023228803716608595
EFC,2022,98.26,87.13,650,605,524.05,6,3,1.1544699933212481,0.009917355371900827
EFC,2022,102.98,94.65,739,907,494.07,1,0,1.835772258991641,0.0011025358324145535
EFC,2022,59.11,53.85,1059,1036,550.99,2,1,1.880251910198007,0.0019305019305019305
EFC,2022,75.49,80.63,782,452,389.36,3,2,1.1608793918224778,0.00663716814159292
EFC,2022,81.66,76.15,895,614,523.43,3,1,1.1730317329919953,0.004885993485342019
EFC,2022,68.98,57.76,770,1243,261.39,4,1,4.755346417230958,0.003218020917135961
EFC,2022,70.41,68.71,679,856,432.74,0,0,1.9780930812959283,0.0
EFC,2022,61.28,56.89,889,915,471.12,2,1,1.9421803362200714,0.002185792349726776
EFC,2022,62.73,64.68,828,981,580.86,1,0,1.6888751162070035,0.0010193679918450561
EFC,2022,81.44,97.05,1047,734,617.18,2,1,1.189280274798276,0.0027247956403269754
EFC,2022,79.64,72.03,247,1015,498.57,4,3,2.0358224522133304,0.003940886699507389
EFC,2022,99.5,91.82,677,1217,454.85,1,0,2.675607343080136,0.0008216926869350862
EFC,2022,86.89,84.67,1051,350,396.64,3,1,0.882412263009278,0.008571428571428572
EFC,2022,76.63,72.66,683,1054,593.62,3,0,1.7755466460024931,0.0028462998102466793
EFC,2022,76.89,80.93,937,1101,576.29,5,3,1.9104964514393796,0.004541326067211626
EFC,2022,76.55,68.93,775,1154,664.33,3,2,1.7370884951755903,0.0025996533795493936
EFC,2022,92.86,101.45,502,1317,388.48,1,0,3.390135914332784,0.0007593014426727411
EFC,2022,65.42,70.75,766,1073,711.22,4,1,1.5086752341047776,0.003727865796831314
EFC,2022,79.94,69.73,780,768,617.87,3,1,1.2429799148688234,0.00390625
EFC,2022,92.81,111.0,479,804,568.47,7,2,1.4143226555491055,0.008706467661691543
EFC,2022,70.58,77.85,1175,782,602.36,2,0,1.2982269739026495,0.0025575447570332483
EFC,2022,78.43,67.85,829,1093,244.34,5,2,4.47327494474912,0.004574565416285453
EFC,2022,63.55,52.28,542,1298,504.5,4,2,2.572844400396432,0.0030816640986132513
EFC,2022,38.82,40.88,838,462,372.55,5,3,1.2401019997315796,0.010822510822510822
EFC,2022,73.01,65.41,596,1070,569.63,4,2,1.8784123027228201,0.003738317757009346
EFC,2022,85.23,80.89,767,751,465.17,9,3,1.614463529462347,0.011984021304926764
EFC,2022,102.07,115.88,797,867,414.08,8,3,2.0937982998454405,0.00922722029988466
EFC,2022,89.02,102.89,661,1073,337.01,3,1,3.1838817839233258,0.0027958993476234857
EFC,2022,49.46,51.64,658,1433,373.56,1,0,3.836063818395974,0.0006978367062107466
EFC,2022,72.11,82.02,591,764,591.54,5,2,1.2915441052168917,0.006544502617801047
EFC,2022,74.54,76.57,403,781,533.59,3,1,1.4636706085196498,0.0038412291933418692
EFC,2022,92.12,93.28,1007,934,456.74,4,1,2.0449270919998246,0.004282655246252677
EFC,2022,74.33,69.03,584,887,501.83,3,2,1.767530837136082,0.0033821871476888386
EFC,2022,69.27,60.09,778,711,599.17,1,0,1.186641520770399,0.0014064697609001407
EFC,2022,71.68,70.47,707,763,518.01,3,2,1.4729445377502366,0.003931847968545216
EFC,2022,61.56,69.16,810,899,426.4,1,0,2.108348968105066,0.0011123470522803114
EFC,2022,78.93,84.05,684,1066,529.64,3,1,2.012687863454422,0.0028142589118198874
EFC,2022,89.26,99.43,361,809,533.71,2,0,1.515804463097937,0.002472187886279357
EFC,2022,69.68,74.04,542,985,742.0,2,1,1.3274932614555257,0.0020304568527918783
EFC,2022,73.33,74.89,846,952,410.0,3,2,2.321951219512195,0.0031512605042016808
EFC,2022,60.5,55.87,662,677,481.24,4,1,1.4067824785969578,0.005908419497784343
EFC,2022,74.92,64.73,1080,1062,450.21,5,1,2.358899180382488,0.004708097928436911
EFC,2022,83.89,73.22,676,1077,509.78,3,1,2.1126760563380285,0.002785515320334262
EFC,2022,91.19,106.74,610,1160,525.76,2,0,2.206329884357882,0.0017241379310344827
EFC,2022,91.39,107.51,741,993,494.84,1,0,2.006709239350093,0.0010070493454179255
EFC,2022,77.93,68.28,693,1067,480.38,4,1,2.2211582497189726,0.0037488284910965324
EFC,2022,113.37,134.7,875,578,470.71,5,3,1.2279322725244843,0.00865051903114187
EFC,2022,91.76,94.12,676,933,488.9,1,0,1.9083657189609329,0.0010718113612004287
EFC,2022,54.53,52.52,554,647,534.61,6,3,1.21022801668506,0.00927357032457496
EFC,2022,105.03,105.7,917,866,496.61,3,1,1.7438231207587442,0.003464203233256351
EFC,2022,82.46,82.07,568,679,576.8,6,4,1.1771844660194175,0.008836524300441826
EFC,2022,85.98,76.51,741,1200,500.34,3,1,2.398369109005876,0.0025
EFC,2022,75.54,74.59,1061,957,524.55,4,1,1.824420932227624,0.0041797283176593526
EFC,2022,54.62,51.61,568,476,656.2,0,0,0.7253886010362693,0.0
EFC,2022,103.43,107.68,618,1136,502.66,2,1,2.259976922770859,0.0017605633802816902
EFC,2022,69.23,57.76,622,620,537.03,3,1,1.1544978865240303,0.004838709677419355
EFC,2022,79.14,81.83,685,793,428.05,3,2,1.8525873145660554,0.0037831021437578815
EFC,2022,93.65,94.68,745,1033,686.06,2,1,1.5056992099816344,0.001936108422071636
EFC,2022,98.05,110.17,560,969,451.19,4,1,2.147653981692857,0.0041279669762641896
EFC,2022,67.07,75.44,553,584,592.73,2,1,0.985271540161625,0.003424657534246575
EFC,2022,58.52,62.97,712,1103,599.54,1,0,1.839743803582747,0.0009066183136899365
EFC,2022,86.3,100.68,777,673,773.39,2,1,0.8701948564113836,0.0029717682020802376
EFC,2022,87.9,80.28,977,795,555.29,3,2,1.431684345116966,0.0037735849056603774
EFC,2022,57.84,63.04,558,1205,522.98,4,2,2.3041034073960764,0.0033195020746887966
EFC,2022,62.45,72.57,1319,829,716.07,3,1,1.1577080453028334,0.0036188178528347406
EFC,2022,83.42,67.6,1437,1153,649.09,3,1,1.7763330200742578,0.0026019080659150044
