supplier_id,shipment_id,order_date,promised_lead_time,actual_lead_time,units_ordered,units_received,delivery_status,cost_per_unit,fill_rate,lead_variance
SUP030,SHP000074,2024,9,4,421,421,Early,114.36,1.0,-5
SUP047,SHP000075,2022,19,21,415,367,Late,189.99,0.8843373493975903,2
SUP035,SHP000076,2023,12,13,326,326,On-Time,140.76,1.0,1
SUP008,SHP000077,2024,13,15,252,233,Late,178.38,0.9246031746031746,2
SUP027,SHP000078,2023,12,11,118,118,On-Time,125.49,1.0,-1
SUP031,SHP000079,2023,14,16,385,385,Late,134.85,1.0,2
SUP033,SHP000080,2022,20,19,236,236,On-Time,163.65,1.0,-1
SUP056,SHP000081,2024,7,1,474,474,Early,106.89,1.0,-6
SUP060,SHP000082,2022,3,1,307,307,Early,13.3,1.0,-2
SUP001,SHP000083,2023,16,16,162,162,On-Time,78.12,1.0,0
SUP025,SHP000084,2024,13,18,100,100,Late,88.62,1.0,5
SUP041,SHP000085,2023,8,8,103,103,On-Time,101.32,1.0,0
SUP025,SHP000086,2022,11,9,276,251,Early,166.21,0.9094202898550725,-2
SUP042,SHP000087,2024,11,10,473,345,On-Time,34.19,0.7293868921775899,-1
SUP018,SHP000088,2023,16,12,291,291,Early,28.07,1.0,-4
SUP043,SHP000089,2023,10,7,166,166,Early,62.01,1.0,-3
SUP015,SHP000090,2024,7,9,348,348,Late,124.08,1.0,2
SUP044,SHP000091,2024,9,2,340,340,Early,30.39,1.0,-7
SUP008,SHP000092,2022,17,17,138,138,On-Time,141.97,1.0,0
SUP022,SHP000093,2024,15,10,152,152,Early,178.71,1.0,-5
SUP057,SHP000094,2023,10,6,334,334,Early,101.23,1.0,-4
SUP042,SHP000095,2023,12,20,119,119,Late,44.02,1.0,8
SUP034,SHP000096,2023,9,6,397,397,Early,78.8,1.0,-3
SUP038,SHP000097,2023,11,12,371,371,On-Time,192.74,1.0,1
SUP056,SHP000098,2024,19,18,78,78,On-Time,89.86,1.0,-1
SUP049,SHP000099,2024,10,9,459,459,On-Time,84.96,1.0,-1
SUP049,SHP000100,2024,20,16,262,262,Early,61.44,1.0,-4
SUP058,SHP000101,2024,12,16,300,300,Late,19.57,1.0,4
SUP059,SHP000102,2024,20,21,417,417,On-Time,178.64,1.0,1
SUP004,SHP000103,2022,5,6,75,75,On-Time,120.68,1.0,1
SUP007,SHP000104,2022,9,11,268,268,Late,178.78,1.0,2
SUP025,SHP000105,2022,14,15,470,470,On-Time,54.61,1.0,1
SUP042,SHP000106,2022,6,7,462,462,On-Time,165.73,1.0,1
SUP055,SHP000107,2023,9,8,74,74,On-Time,74.59,1.0,-1
SUP017,SHP000108,2024,8,6,146,146,Early,133.66,1.0,-2
SUP057,SHP000109,2023,4,1,259,259,Early,169.08,1.0,-3
SUP050,SHP000110,2022,3,1,240,240,Early,194.38,1.0,-2
SUP038,SHP000111,2024,4,4,252,252,On-Time,63.68,1.0,0
SUP059,SHP000112,2024,20,15,368,368,Early,140.63,1.0,-5
SUP047,SHP000113,2022,17,14,450,450,Early,120.23,1.0,-3
SUP043,SHP000114,2022,20,17,433,433,Early,37.54,1.0,-3
SUP010,SHP000115,2024,9,6,315,315,Early,60.14,1.0,-3
SUP058,SHP000116,2023,13,12,251,251,On-Time,35.02,1.0,-1
SUP055,SHP000117,2023,8,9,138,138,On-Time,51.93,1.0,1
SUP042,SHP000118,2023,11,11,477,379,On-Time,50.78,0.7945492662473794,0
SUP033,SHP000119,2024,14,8,194,194,Early,22.89,1.0,-6
SUP006,SHP000120,2022,13,9,211,211,Early,187.3,1.0,-4
SUP022,SHP000121,2024,13,14,255,255,On-Time,33.43,1.0,1
SUP001,SHP000122,2022,19,20,301,301,On-Time,40.56,1.0,1
SUP013,SHP000123,2023,14,16,187,187,Late,195.58,1.0,2
SUP029,SHP000124,2022,12,13,409,409,On-Time,111.99,1.0,1
SUP050,SHP000125,2022,15,13,369,369,Early,42.09,1.0,-2
SUP003,SHP000126,2023,19,20,379,379,On-Time,107.45,1.0,1
SUP008,SHP000127,2023,4,11,175,175,Late,133.09,1.0,7
SUP031,SHP000128,2022,17,19,371,371,Late,17.62,1.0,2
SUP004,SHP000129,2023,5,3,308,308,Early,179.86,1.0,-2
SUP060,SHP000130,2022,15,17,211,200,Late,152.7,0.9478672985781991,2
SUP039,SHP000131,2022,11,9,117,117,Early,126.47,1.0,-2
SUP010,SHP000132,2022,5,1,181,181,Early,96.34,1.0,-4
SUP027,SHP000133,2022,4,5,51,51,On-Time,187.71,1.0,1
SUP041,SHP000134,2022,4,1,385,385,Early,149.29,1.0,-3
SUP020,SHP000135,2022,18,20,223,223,Late,93.33,1.0,2
SUP003,SHP000136,2024,3,4,198,198,On-Time,199.09,1.0,1
SUP029,SHP000137,2022,13,12,342,342,On-Time,59.79,1.0,-1
SUP057,SHP000138,2024,12,9,95,95,Early,101.4,1.0,-3
SUP004,SHP000139,2023,6,7,380,340,On-Time,190.23,0.8947368421052632,1
SUP014,SHP000140,2024,7,7,244,181,On-Time,95.26,0.7418032786885246,0
SUP002,SHP000141,2022,4,6,285,285,Late,143.65,1.0,2
SUP033,SHP000142,2022,6,5,152,152,On-Time,144.68,1.0,-1
SUP041,SHP000143,2024,14,10,233,233,Early,46.5,1.0,-4
SUP035,SHP000144,2023,15,17,212,212,Late,61.45,1.0,2
SUP003,SHP000145,2022,18,18,410,410,On-Time,51.05,1.0,0
SUP034,SHP000146,2024,6,7,371,371,On-Time,82.95,1.0,1
SUP041,SHP000147,2024,20,20,91,91,On-Time,148.84,1.0,0
SUP058,SHP000148,2023,3,1,269,269,Early,31.89,1.0,-2
SUP056,SHP000149,2023,6,1,251,251,Early,43.24,1.0,-5
SUP055,SHP000150,2024,5,5,218,177,On-Time,139.01,0.8119266055045872,0
SUP005,SHP000151,2022,3,3,385,385,On-Time,148.81,1.0,0
SUP030,SHP000152,2024,15,10,386,386,Early,153.74,1.0,-5
SUP011,SHP000153,2023,3,4,85,71,On-Time,172.36,0.8352941176470589,1
SUP026,SHP000154,2022,16,14,431,431,Early,152.9,1.0,-2
SUP010,SHP000155,2024,17,19,160,116,Late,170.85,0.725,2
SUP034,SHP000156,2023,10,11,421,322,On-Time,93.43,0.7648456057007126,1
SUP011,SHP000157,2022,4,3,275,275,On-Time,31.53,1.0,-1
SUP039,SHP000158,2023,6,5,202,202,On-Time,111.21,1.0,-1
SUP027,SHP000159,2022,5,2,215,215,Early,147.75,1.0,-3
SUP036,SHP000160,2022,8,12,322,322,Late,132.11,1.0,4
SUP012,SHP000161,2024,6,13,378,378,Late,193.9,1.0,7
SUP042,SHP000162,2022,3,4,464,464,On-Time,27.59,1.0,1
SUP056,SHP000163,2023,7,5,497,497,Early,158.91,1.0,-2
SUP050,SHP000164,2024,11,8,363,363,Early,188.23,1.0,-3
SUP019,SHP000165,2023,10,13,318,318,Late,40.65,1.0,3
SUP054,SHP000166,2024,5,4,154,154,On-Time,175.2,1.0,-1
SUP020,SHP000167,2024,17,17,487,406,On-Time,139.57,0.8336755646817249,0
SUP054,SHP000168,2022,6,5,321,321,On-Time,32.03,1.0,-1
SUP034,SHP000169,2022,13,10,309,309,Early,139.0,1.0,-3
SUP021,SHP000170,2022,9,13,247,217,Late,153.12,0.8785425101214575,4
SUP049,SHP000171,2022,3,8,153,153,Late,40.73,1.0,5
SUP002,SHP000172,2023,14,15,417,417,On-Time,51.2,1.0,1
SUP043,SHP000173,2023,20,18,383,383,Early,115.49,1.0,-2
SUP055,SHP000174,2022,11,10,389,389,On-Time,100.67,1.0,-1
SUP002,SHP000175,2024,15,15,299,299,On-Time,67.94,1.0,0
SUP030,SHP000176,2022,12,5,66,66,Early,16.45,1.0,-7
SUP010,SHP000177,2022,12,11,398,398,On-Time,144.91,1.0,-1
SUP034,SHP000178,2023,6,4,278,278,Early,63.69,1.0,-2
SUP033,SHP000179,2022,10,15,188,188,Late,145.86,1.0,5
SUP043,SHP000180,2024,18,14,461,461,Early,127.46,1.0,-4
SUP038,SHP000181,2022,19,20,428,428,On-Time,36.4,1.0,1
SUP022,SHP000182,2024,5,4,300,300,On-Time,23.92,1.0,-1
SUP037,SHP000183,2024,20,17,121,121,Early,52.45,1.0,-3
SUP012,SHP000184,2022,7,5,424,424,Early,117.67,1.0,-2
SUP042,SHP000185,2024,16,14,474,474,Early,11.53,1.0,-2
SUP042,SHP000186,2024,9,12,192,192,Late,26.96,1.0,3
SUP030,SHP000187,2022,7,8,434,434,On-Time,115.91,1.0,1
SUP041,SHP000188,2023,12,15,463,463,Late,75.95,1.0,3
SUP018,SHP000189,2024,7,4,386,386,Early,110.83,1.0,-3
SUP006,SHP000190,2023,9,3,122,110,Early,39.04,0.9016393442622951,-6
SUP005,SHP000191,2024,12,15,363,363,Late,181.11,1.0,3
SUP027,SHP000192,2022,19,15,211,211,Early,106.96,1.0,-4
SUP035,SHP000193,2024,10,8,222,197,Early,63.54,0.8873873873873874,-2
SUP001,SHP000194,2024,15,19,72,72,Late,20.85,1.0,4
SUP028,SHP000195,2022,7,10,259,200,Late,182.05,0.7722007722007722,3
SUP060,SHP000196,2022,6,10,198,175,Late,115.53,0.8838383838383839,4
SUP038,SHP000197,2022,16,21,251,251,Late,100.07,1.0,5
SUP044,SHP000198,2022,3,4,391,391,On-Time,34.02,1.0,1
SUP008,SHP000199,2024,14,14,392,392,On-Time,55.81,1.0,0
SUP047,SHP000200,2023,19,19,324,324,On-Time,176.09,1.0,0
SUP039,SHP000201,2022,19,21,275,195,Late,136.18,0.7090909090909091,2
SUP057,SHP000202,2024,6,4,189,189,Early,196.58,1.0,-2
SUP058,SHP000203,2024,15,18,272,272,Late,154.01,1.0,3
SUP025,SHP000204,2022,12,9,59,47,Early,153.29,0.7966101694915254,-3
SUP055,SHP000205,2023,16,12,195,195,Early,75.48,1.0,-4
SUP008,SHP000206,2024,14,14,268,268,On-Time,139.23,1.0,0
SUP011,SHP000207,2024,8,9,135,135,On-Time,190.03,1.0,1
SUP052,SHP000208,2024,5,3,426,426,Early,168.96,1.0,-2
SUP031,SHP000209,2023,3,5,174,174,Late,83.15,1.0,2
SUP026,SHP000210,2023,16,17,396,396,On-Time,153.07,1.0,1
SUP026,SHP000211,2023,19,15,282,282,Early,121.29,1.0,-4
SUP009,SHP000212,2024,15,10,321,321,Early,108.49,1.0,-5
SUP001,SHP000213,2022,9,7,397,397,Early,70.66,1.0,-2
SUP036,SHP000214,2024,20,21,180,180,On-Time,132.55,1.0,1
SUP003,SHP000215,2024,18,15,233,233,Early,108.48,1.0,-3
SUP034,SHP000216,2024,6,4,352,352,Early,16.24,1.0,-2
SUP009,SHP000217,2023,7,4,272,272,Early,102.59,1.0,-3
SUP054,SHP000218,2022,3,1,472,472,Early,86.63,1.0,-2
SUP002,SHP000219,2022,14,11,205,205,Early,174.85,1.0,-3
SUP016,SHP000220,2022,6,7,484,484,On-Time,29.38,1.0,1
SUP040,SHP000221,2023,9,12,111,111,Late,153.97,1.0,3
SUP008,SHP000222,2023,16,18,82,82,Late,172.94,1.0,2
SUP030,SHP000223,2023,18,17,403,403,On-Time,178.92,1.0,-1
SUP004,SHP000224,2022,17,14,230,230,Early,75.57,1.0,-3
SUP041,SHP000225,2023,5,3,367,367,Early,95.58,1.0,-2
SUP049,SHP000226,2024,11,5,474,474,Early,14.4,1.0,-6
SUP052,SHP000227,2024,14,12,219,219,Early,116.46,1.0,-2
SUP012,SHP000228,2023,17,20,127,127,Late,191.78,1.0,3
SUP060,SHP000229,2024,3,2,433,433,On-Time,62.95,1.0,-1
SUP027,SHP000230,2024,3,6,136,136,Late,60.88,1.0,3
SUP013,SHP000231,2022,3,3,103,103,On-Time,147.82,1.0,0
SUP044,SHP000232,2023,8,6,293,293,Early,141.0,1.0,-2
SUP058,SHP000233,2024,11,14,466,466,Late,48.87,1.0,3
SUP057,SHP000234,2022,19,22,407,407,Late,169.76,1.0,3
SUP017,SHP000235,2022,9,9,133,133,On-Time,127.86,1.0,0
SUP018,SHP000236,2022,9,8,234,234,On-Time,170.59,1.0,-1
SUP018,SHP000237,2022,4,7,106,106,Late,179.82,1.0,3
SUP014,SHP000238,2022,13,13,382,382,On-Time,151.85,1.0,0
SUP021,SHP000239,2023,16,17,197,197,On-Time,29.1,1.0,1
SUP052,SHP000240,2024,6,7,369,369,On-Time,105.66,1.0,1
SUP039,SHP000241,2024,16,19,239,239,Late,90.55,1.0,3
SUP025,SHP000242,2024,5,4,306,306,On-Time,79.99,1.0,-1
SUP041,SHP000243,2024,8,8,454,454,On-Time,111.89,1.0,0
SUP042,SHP000244,2022,4,6,92,80,Late,106.07,0.8695652173913043,2
SUP012,SHP000245,2023,3,1,140,140,Early,44.59,1.0,-2
SUP042,SHP000246,2023,12,7,459,459,Early,28.82,1.0,-5
SUP017,SHP000247,2023,5,5,164,164,On-Time,100.9,1.0,0
SUP022,SHP000248,2022,12,7,368,368,Early,149.12,1.0,-5
SUP034,SHP000249,2023,5,6,235,188,On-Time,147.1,0.8,1
SUP044,SHP000250,2023,14,13,242,242,On-Time,61.29,1.0,-1
SUP053,SHP000251,2022,10,9,96,96,On-Time,65.02,1.0,-1
SUP057,SHP000252,2023,16,14,441,441,Early,164.81,1.0,-2
SUP032,SHP000253,2024,3,1,190,190,Early,104.9,1.0,-2
SUP058,SHP000254,2024,16,20,490,490,Late,47.68,1.0,4
SUP001,SHP000255,2022,16,16,450,450,On-Time,97.77,1.0,0
SUP006,SHP000256,2022,15,18,174,174,Late,46.27,1.0,3
SUP012,SHP000257,2024,20,18,111,111,Early,170.38,1.0,-2
SUP001,SHP000258,2024,16,15,77,77,On-Time,114.35,1.0,-1
SUP048,SHP000259,2022,19,24,305,305,Late,72.65,1.0,5
SUP048,SHP000260,2023,8,4,279,279,Early,147.64,1.0,-4
SUP019,SHP000261,2022,9,8,111,111,On-Time,63.95,1.0,-1
SUP052,SHP000262,2024,20,23,101,101,Late,190.6,1.0,3
SUP043,SHP000263,2023,12,16,285,285,Late,82.39,1.0,4
SUP060,SHP000264,2024,17,17,286,286,On-Time,111.37,1.0,0
SUP043,SHP000265,2022,13,12,225,225,On-Time,194.09,1.0,-1
SUP010,SHP000266,2022,17,17,458,458,On-Time,142.74,1.0,0
SUP020,SHP000267,2023,5,1,406,406,Early,146.52,1.0,-4
SUP011,SHP000268,2023,20,19,287,287,On-Time,51.35,1.0,-1
SUP043,SHP000269,2022,8,7,178,178,On-Time,190.68,1.0,-1
SUP057,SHP000270,2022,15,14,174,174,On-Time,73.97,1.0,-1
SUP024,SHP000271,2023,20,19,198,198,On-Time,3.94,1.0,-1
SUP014,SHP000272,2024,19,21,332,332,Late,178.39,1.0,2
SUP027,SHP000273,2024,11,11,60,60,On-Time,25.14,1.0,0
SUP039,SHP000274,2024,11,6,77,77,Early,62.04,1.0,-5
SUP002,SHP000275,2023,8,9,236,236,On-Time,82.53,1.0,1
SUP038,SHP000276,2022,3,8,309,309,Late,6.03,1.0,5
SUP006,SHP000277,2023,7,2,360,360,Early,32.66,1.0,-5
SUP060,SHP000278,2024,17,16,107,80,On-Time,122.95,0.7476635514018691,-1
SUP010,SHP000279,2024,20,21,353,353,On-Time,163.8,1.0,1
SUP015,SHP000280,2023,19,16,230,172,Early,85.54,0.7478260869565218,-3
SUP030,SHP000281,2024,6,11,201,201,Late,122.5,1.0,5
SUP024,SHP000282,2022,12,12,111,111,On-Time,86.36,1.0,0
SUP016,SHP000283,2024,13,14,158,158,On-Time,159.39,1.0,1
SUP001,SHP000284,2022,15,15,261,261,On-Time,30.14,1.0,0
SUP012,SHP000285,2023,6,5,448,448,On-Time,161.86,1.0,-1
SUP036,SHP000286,2022,10,11,155,155,On-Time,76.72,1.0,1
SUP059,SHP000287,2024,11,10,371,371,On-Time,54.88,1.0,-1
SUP018,SHP000288,2023,4,2,333,333,Early,96.66,1.0,-2
SUP037,SHP000289,2023,9,8,92,92,On-Time,151.68,1.0,-1
SUP029,SHP000290,2023,8,7,467,467,On-Time,67.71,1.0,-1
SUP026,SHP000291,2024,3,1,436,436,Early,144.94,1.0,-2
SUP053,SHP000292,2023,5,7,298,298,Late,61.03,1.0,2
SUP053,SHP000293,2024,15,16,52,52,On-Time,86.81,1.0,1
SUP060,SHP000294,2024,15,13,258,258,Early,114.39,1.0,-2
SUP046,SHP000295,2023,13,10,464,464,Early,194.88,1.0,-3
SUP004,SHP000296,2023,9,8,419,419,On-Time,43.16,1.0,-1
SUP016,SHP000297,2022,8,8,488,488,On-Time,29.09,1.0,0
SUP040,SHP000298,2023,13,13,77,77,On-Time,79.33,1.0,0
SUP025,SHP000299,2022,4,1,325,269,Early,116.71,0.8276923076923077,-3
SUP042,SHP000300,2022,7,11,195,195,Late,122.83,1.0,4
SUP049,SHP000301,2022,8,11,229,229,Late,157.9,1.0,3
SUP029,SHP000302,2023,12,14,184,184,Late,20.87,1.0,2
SUP001,SHP000303,2022,7,12,130,130,Late,3.38,1.0,5
SUP009,SHP000304,2022,11,10,69,69,On-Time,151.69,1.0,-1
SUP059,SHP000305,2024,6,6,122,122,On-Time,37.11,1.0,0
SUP049,SHP000306,2022,7,1,74,74,Early,94.1,1.0,-6
SUP019,SHP000307,2022,11,2,264,264,Early,22.43,1.0,-9
SUP016,SHP000308,2023,13,11,294,294,Early,179.54,1.0,-2
SUP025,SHP000309,2024,11,13,343,343,Late,38.27,1.0,2
SUP021,SHP000310,2023,18,23,186,186,Late,39.1,1.0,5
SUP009,SHP000311,2022,18,18,273,273,On-Time,101.23,1.0,0
SUP055,SHP000312,2024,15,13,93,93,Early,15.38,1.0,-2
SUP049,SHP000313,2022,3,6,337,337,Late,5.44,1.0,3
SUP058,SHP000314,2022,15,18,421,421,Late,64.31,1.0,3
SUP045,SHP000315,2024,5,1,434,357,Early,27.72,0.8225806451612904,-4
SUP020,SHP000316,2024,7,7,245,222,On-Time,49.47,0.9061224489795918,0
SUP003,SHP000317,2023,19,18,464,376,On-Time,66.6,0.8103448275862069,-1
SUP023,SHP000318,2022,14,8,210,210,Early,47.56,1.0,-6
SUP023,SHP000319,2024,3,2,307,307,On-Time,165.27,1.0,-1
SUP015,SHP000320,2023,8,10,342,342,Late,152.62,1.0,2
SUP045,SHP000321,2023,8,4,389,366,Early,178.98,0.9408740359897172,-4
SUP049,SHP000322,2024,6,7,378,378,On-Time,46.41,1.0,1
SUP028,SHP000323,2023,8,5,168,168,Early,129.58,1.0,-3
SUP017,SHP000324,2022,14,12,95,95,Early,27.06,1.0,-2
SUP033,SHP000325,2023,10,13,194,194,Late,38.79,1.0,3
SUP049,SHP000326,2023,16,18,97,97,Late,178.53,1.0,2
SUP006,SHP000327,2024,8,8,213,213,On-Time,30.26,1.0,0
SUP045,SHP000328,2022,9,9,352,352,On-Time,152.68,1.0,0
SUP035,SHP000329,2022,16,14,357,357,Early,41.48,1.0,-2
SUP053,SHP000330,2024,3,3,155,142,On-Time,103.21,0.9161290322580645,0
SUP029,SHP000331,2023,8,12,266,266,Late,14.03,1.0,4
SUP051,SHP000332,2023,18,20,446,446,Late,114.38,1.0,2
SUP024,SHP000333,2024,7,11,455,455,Late,89.63,1.0,4
SUP050,SHP000334,2022,8,14,452,452,Late,172.82,1.0,6
SUP018,SHP000335,2024,16,14,114,114,Early,94.28,1.0,-2
SUP044,SHP000336,2024,15,15,121,121,On-Time,178.33,1.0,0
SUP002,SHP000337,2024,7,7,109,109,On-Time,148.05,1.0,0
SUP016,SHP000338,2022,9,9,318,318,On-Time,154.43,1.0,0
SUP056,SHP000339,2023,11,6,293,293,Early,69.92,1.0,-5
SUP026,SHP000340,2022,13,10,155,155,Early,153.06,1.0,-3
SUP053,SHP000341,2024,17,20,324,283,Late,142.19,0.8734567901234568,3
SUP045,SHP000342,2024,18,11,147,147,Early,142.68,1.0,-7
SUP018,SHP000343,2023,18,17,136,136,On-Time,166.59,1.0,-1
SUP054,SHP000344,2023,13,16,163,163,Late,109.39,1.0,3
SUP057,SHP000345,2023,12,10,224,224,Early,190.32,1.0,-2
SUP058,SHP000346,2022,19,19,383,383,On-Time,60.48,1.0,0
SUP033,SHP000347,2022,14,10,59,59,Early,104.54,1.0,-4
SUP035,SHP000348,2024,11,15,427,427,Late,83.35,1.0,4
SUP010,SHP000349,2023,19,21,115,115,Late,83.91,1.0,2
SUP008,SHP000350,2022,18,20,142,142,Late,162.97,1.0,2
SUP023,SHP000351,2023,11,10,223,223,On-Time,69.65,1.0,-1
SUP056,SHP000352,2022,17,12,72,72,Early,8.98,1.0,-5
SUP046,SHP000353,2024,8,6,279,279,Early,58.89,1.0,-2
SUP037,SHP000354,2022,5,3,176,176,Early,88.06,1.0,-2
SUP029,SHP000355,2024,13,18,269,269,Late,77.23,1.0,5
SUP032,SHP000356,2023,17,13,164,164,Early,148.4,1.0,-4
SUP016,SHP000357,2022,18,20,457,457,Late,141.4,1.0,2
SUP034,SHP000358,2024,11,12,327,327,On-Time,98.17,1.0,1
SUP024,SHP000359,2024,6,8,420,420,Late,32.42,1.0,2
SUP018,SHP000360,2023,17,12,485,485,Early,12.35,1.0,-5
SUP046,SHP000361,2024,20,19,55,55,On-Time,47.6,1.0,-1
SUP026,SHP000362,2023,10,2,248,248,Early,98.9,1.0,-8
SUP027,SHP000363,2023,17,19,325,325,Late,45.2,1.0,2
SUP010,SHP000364,2023,20,21,191,191,On-Time,64.91,1.0,1
SUP013,SHP000365,2022,9,7,76,76,Early,137.32,1.0,-2
SUP009,SHP000366,2022,20,19,408,408,On-Time,81.68,1.0,-1
SUP015,SHP000367,2024,6,11,236,236,Late,171.4,1.0,5
SUP028,SHP000368,2022,15,13,440,440,Early,92.04,1.0,-2
SUP003,SHP000369,2023,19,17,359,359,Early,20.82,1.0,-2
SUP025,SHP000370,2022,4,10,397,397,Late,152.23,1.0,6
SUP026,SHP000371,2022,14,14,184,184,On-Time,106.58,1.0,0
SUP052,SHP000372,2022,3,1,307,307,Early,137.18,1.0,-2
SUP030,SHP000373,2022,12,8,143,143,Early,141.43,1.0,-4
SUP039,SHP000374,2023,15,16,239,239,On-Time,86.76,1.0,1
SUP050,SHP000375,2024,6,4,144,144,Early,184.26,1.0,-2
SUP040,SHP000376,2023,19,14,491,491,Early,5.64,1.0,-5
SUP034,SHP000377,2023,6,9,283,283,Late,92.21,1.0,3
